emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
32.0,600.0,0.8,0.001,2.0,0.35589832067489624
128.0,600.0,0.8,0.001,3.0,0.35504141449928284
32.0,500.0,0.8,0.001,3.0,0.37246501445770264
128.0,400.0,0.8,0.001,3.0,0.38074836134910583
64.0,300.0,0.6,0.001,2.0,0.35047128796577454
32.0,200.0,0.8,0.001,2.0,0.37303626537323
32.0,600.0,0.6,0.001,1.0,0.279348760843277
32.0,500.0,0.6,0.001,3.0,0.32447871565818787
96.0,500.0,0.8,0.001,1.0,0.35875463485717773
64.0,500.0,0.6,0.001,2.0,0.30705511569976807
64.0,400.0,0.6,0.001,3.0,0.3407597839832306
32.0,500.0,0.6,0.001,2.0,0.29962867498397827
96.0,400.0,0.8,0.001,2.0,0.37589260935783386
32.0,400.0,0.8,0.001,2.0,0.3644672930240631
32.0,600.0,0.8,0.001,3.0,0.34932875633239746
128.0,200.0,0.8,0.001,3.0,0.3993144929409027
96.0,100.0,0.8,0.001,3.0,0.3838903307914734
128.0,100.0,0.6,0.001,3.0,0.3876035511493683
128.0,200.0,0.6,0.001,3.0,0.36046844720840454
96.0,100.0,0.8,0.001,1.0,0.3821765184402466
64.0,400.0,0.6,0.001,1.0,0.3150528371334076
32.0,200.0,0.8,0.001,1.0,0.3896029591560364
96.0,100.0,0.8,0.001,2.0,0.3984575867652893
96.0,500.0,0.6,0.001,2.0,0.30905455350875854
96.0,200.0,0.6,0.001,1.0,0.36675235629081726
96.0,300.0,0.8,0.001,1.0,0.39074549078941345
64.0,200.0,0.8,0.001,3.0,0.3950299918651581
128.0,500.0,0.6,0.001,3.0,0.31619536876678467
128.0,500.0,0.6,0.001,1.0,0.3184804320335388
128.0,400.0,0.8,0.001,1.0,0.3784632980823517
128.0,200.0,0.8,0.001,2.0,0.39617252349853516
96.0,100.0,0.6,0.001,2.0,0.37874892354011536
96.0,100.0,0.6,0.001,1.0,0.38531848788261414
128.0,200.0,0.6,0.001,1.0,0.37589260935783386
32.0,400.0,0.8,0.001,1.0,0.3818908929824829
32.0,400.0,0.6,0.001,3.0,0.3119108974933624
64.0,200.0,0.8,0.001,1.0,0.3958868980407715
96.0,500.0,0.6,0.001,3.0,0.2990574240684509
128.0,400.0,0.8,0.001,2.0,0.3664667308330536
128.0,500.0,0.8,0.001,3.0,0.37303626537323
64.0,600.0,0.6,0.001,1.0,0.2956298291683197
64.0,600.0,0.8,0.001,3.0,0.3470436930656433
96.0,500.0,0.6,0.001,1.0,0.3113396167755127
32.0,400.0,0.6,0.001,2.0,0.3239074647426605
96.0,100.0,0.6,0.001,3.0,0.3918880224227905
64.0,100.0,0.8,0.001,1.0,0.3913167715072632
32.0,300.0,0.8,0.001,3.0,0.37217938899993896
32.0,300.0,0.8,0.001,1.0,0.3884604275226593
96.0,400.0,0.6,0.001,1.0,0.30791202187538147
128.0,300.0,0.8,0.001,2.0,0.3950299918651581
64.0,600.0,0.8,0.001,1.0,0.3490431308746338
32.0,600.0,0.6,0.001,3.0,0.2873464822769165
64.0,100.0,0.6,0.001,2.0,0.39445874094963074
32.0,300.0,0.8,0.001,2.0,0.3813196122646332
64.0,200.0,0.6,0.001,1.0,0.3710368573665619
64.0,200.0,0.8,0.001,2.0,0.39245930314064026
64.0,500.0,0.8,0.001,1.0,0.3664667308330536
128.0,300.0,0.6,0.001,1.0,0.3287632167339325
96.0,300.0,0.8,0.001,2.0,0.3873178958892822
128.0,300.0,0.6,0.001,2.0,0.3064838647842407
64.0,500.0,0.8,0.001,3.0,0.35218510031700134
96.0,300.0,0.8,0.001,3.0,0.38446158170700073
64.0,300.0,0.6,0.001,3.0,0.33761781454086304
96.0,300.0,0.6,0.001,2.0,0.3507569134235382
32.0,600.0,0.8,0.001,1.0,0.342473566532135
32.0,100.0,0.8,0.001,2.0,0.3818908929824829
96.0,300.0,0.6,0.001,3.0,0.33761781454086304
128.0,400.0,0.6,0.001,1.0,0.3156241178512573
96.0,500.0,0.8,0.001,2.0,0.3610396981239319
96.0,200.0,0.6,0.001,3.0,0.37046557664871216
32.0,600.0,0.6,0.001,2.0,0.28877463936805725
32.0,300.0,0.6,0.001,3.0,0.34018850326538086
96.0,600.0,0.8,0.001,3.0,0.3536132574081421
64.0,300.0,0.8,0.001,2.0,0.37417879700660706
32.0,500.0,0.6,0.001,1.0,0.29705798625946045
64.0,100.0,0.6,0.001,3.0,0.39617252349853516
96.0,200.0,0.6,0.001,2.0,0.3581833839416504
32.0,400.0,0.6,0.001,1.0,0.3101970851421356
128.0,100.0,0.8,0.001,1.0,0.3967437744140625
96.0,400.0,0.6,0.001,3.0,0.31248214840888977
96.0,500.0,0.8,0.001,3.0,0.3561839461326599
96.0,200.0,0.8,0.001,3.0,0.38788917660713196
128.0,600.0,0.8,0.001,1.0,0.37075120210647583
128.0,600.0,0.6,0.001,2.0,0.2819194495677948
128.0,100.0,0.8,0.001,2.0,0.38617536425590515
32.0,300.0,0.6,0.001,2.0,0.3370465636253357
64.0,600.0,0.6,0.001,3.0,0.2927734851837158
128.0,500.0,0.8,0.001,1.0,0.3661811053752899
96.0,600.0,0.6,0.001,1.0,0.2790631353855133
64.0,100.0,0.8,0.001,2.0,0.3884604275226593
64.0,300.0,0.8,0.001,3.0,0.3818908929824829
96.0,600.0,0.6,0.001,2.0,0.28791773319244385
128.0,300.0,0.8,0.001,1.0,0.3913167715072632
64.0,200.0,0.6,0.001,2.0,0.37132248282432556
128.0,600.0,0.6,0.001,1.0,0.2993430495262146
96.0,300.0,0.6,0.001,1.0,0.3470436930656433
64.0,300.0,0.6,0.001,1.0,0.3196229636669159
64.0,500.0,0.6,0.001,3.0,0.3141959309577942
64.0,400.0,0.8,0.001,3.0,0.3904598653316498
128.0,600.0,0.8,0.001,2.0,0.35761210322380066
64.0,400.0,0.6,0.001,2.0,0.29163095355033875
96.0,600.0,0.8,0.001,1.0,0.3598971664905548
64.0,500.0,0.8,0.001,2.0,0.37589260935783386
64.0,500.0,0.6,0.001,1.0,0.28506141901016235
128.0,300.0,0.6,0.001,3.0,0.3379034698009491
128.0,400.0,0.6,0.001,3.0,0.33561840653419495
32.0,500.0,0.8,0.001,2.0,0.3756069839000702
64.0,100.0,0.6,0.001,1.0,0.3813196122646332
32.0,200.0,0.6,0.001,1.0,0.36389604210853577
128.0,300.0,0.8,0.001,3.0,0.3921736776828766
32.0,100.0,0.8,0.001,3.0,0.38360467553138733
64.0,200.0,0.6,0.001,3.0,0.37617823481559753
128.0,200.0,0.6,0.001,2.0,0.35475578904151917
128.0,100.0,0.6,0.001,2.0,0.38874608278274536
128.0,500.0,0.6,0.001,2.0,0.28877463936805725
96.0,600.0,0.6,0.001,3.0,0.29334476590156555
32.0,200.0,0.6,0.001,3.0,0.3698943257331848
96.0,400.0,0.6,0.001,2.0,0.3204798698425293
64.0,300.0,0.8,0.001,1.0,0.38903170824050903
64.0,600.0,0.6,0.001,2.0,0.3039131760597229
128.0,600.0,0.6,0.001,3.0,0.28334760665893555
128.0,100.0,0.6,0.001,1.0,0.3838903307914734
96.0,400.0,0.8,0.001,1.0,0.3810339868068695
128.0,200.0,0.8,0.001,1.0,0.3984575867652893
128.0,500.0,0.8,0.001,2.0,0.3518994450569153
32.0,100.0,0.6,0.001,2.0,0.3901742398738861
64.0,400.0,0.8,0.001,1.0,0.38331905007362366
128.0,400.0,0.6,0.001,2.0,0.33019137382507324
32.0,500.0,0.8,0.001,1.0,0.3644672930240631
64.0,400.0,0.8,0.001,2.0,0.36675235629081726
32.0,400.0,0.8,0.001,3.0,0.37246501445770264
32.0,300.0,0.6,0.001,1.0,0.33647528290748596
64.0,100.0,0.8,0.001,3.0,0.3744644522666931
32.0,200.0,0.6,0.001,2.0,0.37046557664871216
32.0,100.0,0.8,0.001,1.0,0.37903454899787903
128.0,100.0,0.8,0.001,3.0,0.3921736776828766
32.0,100.0,0.6,0.001,1.0,0.38331905007362366
96.0,400.0,0.8,0.001,3.0,0.3873178958892822
32.0,100.0,0.6,0.001,3.0,0.39160239696502686
96.0,200.0,0.8,0.001,2.0,0.38360467553138733
32.0,200.0,0.8,0.001,3.0,0.3847472071647644
96.0,600.0,0.8,0.001,2.0,0.3441873788833618
96.0,200.0,0.8,0.001,1.0,0.3947443664073944
64.0,600.0,0.8,0.001,2.0,0.35675522685050964
