emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
32.0,600.0,0.8,0.001,2.0,0.33561840653419495
128.0,600.0,0.8,0.001,3.0,0.3590402603149414
32.0,500.0,0.8,0.001,3.0,0.3718937337398529
128.0,400.0,0.8,0.001,3.0,0.36675235629081726
64.0,300.0,0.6,0.001,2.0,0.33304768800735474
32.0,200.0,0.8,0.001,2.0,0.3918880224227905
32.0,600.0,0.6,0.001,1.0,0.2582119405269623
32.0,500.0,0.6,0.001,3.0,0.3093401789665222
96.0,500.0,0.8,0.001,1.0,0.3516138195991516
64.0,500.0,0.6,0.001,2.0,0.2876321077346802
64.0,400.0,0.6,0.001,3.0,0.30362752079963684
32.0,500.0,0.6,0.001,2.0,0.301056832075119
96.0,400.0,0.8,0.001,2.0,0.36960867047309875
32.0,400.0,0.8,0.001,2.0,0.37246501445770264
32.0,600.0,0.8,0.001,3.0,0.3564695715904236
128.0,200.0,0.8,0.001,3.0,0.39331620931625366
96.0,100.0,0.8,0.001,3.0,0.3901742398738861
128.0,100.0,0.6,0.001,3.0,0.3893173336982727
128.0,200.0,0.6,0.001,3.0,0.36703798174858093
96.0,100.0,0.8,0.001,1.0,0.3827477991580963
64.0,400.0,0.6,0.001,1.0,0.29077407717704773
32.0,200.0,0.8,0.001,1.0,0.3958868980407715
96.0,100.0,0.8,0.001,2.0,0.38531848788261414
96.0,500.0,0.6,0.001,2.0,0.3156241178512573
96.0,200.0,0.6,0.001,1.0,0.3533276319503784
96.0,300.0,0.8,0.001,1.0,0.38074836134910583
64.0,200.0,0.8,0.001,3.0,0.3918880224227905
128.0,500.0,0.6,0.001,3.0,0.28506141901016235
128.0,500.0,0.6,0.001,1.0,0.31276777386665344
128.0,400.0,0.8,0.001,1.0,0.37075120210647583
128.0,200.0,0.8,0.001,2.0,0.39445874094963074
96.0,100.0,0.6,0.001,2.0,0.37874892354011536
96.0,100.0,0.6,0.001,1.0,0.38446158170700073
128.0,200.0,0.6,0.001,1.0,0.36675235629081726
32.0,400.0,0.8,0.001,1.0,0.3736075460910797
32.0,400.0,0.6,0.001,3.0,0.31733790040016174
64.0,200.0,0.8,0.001,1.0,0.3967437744140625
96.0,500.0,0.6,0.001,3.0,0.2807769179344177
128.0,400.0,0.8,0.001,2.0,0.37332192063331604
128.0,500.0,0.8,0.001,3.0,0.35846900939941406
64.0,600.0,0.6,0.001,1.0,0.2956298291683197
64.0,600.0,0.8,0.001,3.0,0.35561269521713257
96.0,500.0,0.6,0.001,1.0,0.2810625433921814
32.0,400.0,0.6,0.001,2.0,0.33390459418296814
96.0,100.0,0.6,0.001,3.0,0.3818908929824829
64.0,100.0,0.8,0.001,1.0,0.38788917660713196
32.0,300.0,0.8,0.001,3.0,0.4001713693141937
32.0,300.0,0.8,0.001,1.0,0.3913167715072632
96.0,400.0,0.6,0.001,1.0,0.28706082701683044
128.0,300.0,0.8,0.001,2.0,0.37703514099121094
64.0,600.0,0.8,0.001,1.0,0.3527563512325287
32.0,600.0,0.6,0.001,3.0,0.2782062292098999
64.0,100.0,0.6,0.001,2.0,0.3873178958892822
32.0,300.0,0.8,0.001,2.0,0.38531848788261414
64.0,200.0,0.6,0.001,1.0,0.34590116143226624
64.0,200.0,0.8,0.001,2.0,0.38617536425590515
64.0,500.0,0.8,0.001,1.0,0.35418450832366943
128.0,300.0,0.6,0.001,1.0,0.3261925280094147
96.0,300.0,0.8,0.001,2.0,0.3876035511493683
128.0,300.0,0.6,0.001,2.0,0.33447587490081787
64.0,500.0,0.8,0.001,3.0,0.3684661388397217
96.0,300.0,0.8,0.001,3.0,0.3858897387981415
64.0,300.0,0.6,0.001,3.0,0.3370465636253357
96.0,300.0,0.6,0.001,2.0,0.33190515637397766
32.0,600.0,0.8,0.001,1.0,0.3553270399570465
32.0,100.0,0.8,0.001,2.0,0.38046273589134216
96.0,300.0,0.6,0.001,3.0,0.3084833025932312
128.0,400.0,0.6,0.001,1.0,0.30905455350875854
96.0,500.0,0.8,0.001,2.0,0.36389604210853577
96.0,200.0,0.6,0.001,3.0,0.35961154103279114
32.0,600.0,0.6,0.001,2.0,0.2964867055416107
32.0,300.0,0.6,0.001,3.0,0.32533562183380127
96.0,600.0,0.8,0.001,3.0,0.3536132574081421
64.0,300.0,0.8,0.001,2.0,0.38703227043151855
32.0,500.0,0.6,0.001,1.0,0.31905171275138855
64.0,100.0,0.6,0.001,3.0,0.38074836134910583
96.0,200.0,0.6,0.001,2.0,0.35761210322380066
32.0,400.0,0.6,0.001,1.0,0.31619536876678467
128.0,100.0,0.8,0.001,1.0,0.37532132863998413
96.0,400.0,0.6,0.001,3.0,0.27763494849205017
96.0,500.0,0.8,0.001,3.0,0.34104540944099426
96.0,200.0,0.8,0.001,3.0,0.3978863060474396
128.0,600.0,0.8,0.001,1.0,0.34847187995910645
128.0,600.0,0.6,0.001,2.0,0.2425021380186081
128.0,100.0,0.8,0.001,2.0,0.38246214389801025
32.0,300.0,0.6,0.001,2.0,0.3261925280094147
64.0,600.0,0.6,0.001,3.0,0.2893458902835846
128.0,500.0,0.8,0.001,1.0,0.3507569134235382
96.0,600.0,0.6,0.001,1.0,0.2922022342681885
64.0,100.0,0.8,0.001,2.0,0.3967437744140625
64.0,300.0,0.8,0.001,3.0,0.3864610195159912
96.0,600.0,0.6,0.001,2.0,0.27877748012542725
128.0,300.0,0.8,0.001,1.0,0.38617536425590515
64.0,200.0,0.6,0.001,2.0,0.3673236072063446
128.0,600.0,0.6,0.001,1.0,0.2802056670188904
96.0,300.0,0.6,0.001,1.0,0.3187660574913025
64.0,300.0,0.6,0.001,1.0,0.3359040319919586
64.0,500.0,0.6,0.001,3.0,0.3030562698841095
64.0,400.0,0.8,0.001,3.0,0.3499000370502472
128.0,600.0,0.8,0.001,2.0,0.34932875633239746
64.0,400.0,0.6,0.001,2.0,0.3270494043827057
96.0,600.0,0.8,0.001,1.0,0.35475578904151917
64.0,500.0,0.8,0.001,2.0,0.3590402603149414
64.0,500.0,0.6,0.001,1.0,0.28220507502555847
128.0,300.0,0.6,0.001,3.0,0.3167666494846344
128.0,400.0,0.6,0.001,3.0,0.315909743309021
32.0,500.0,0.8,0.001,2.0,0.36875179409980774
64.0,100.0,0.6,0.001,1.0,0.3910311460494995
32.0,200.0,0.6,0.001,1.0,0.37417879700660706
128.0,300.0,0.8,0.001,3.0,0.3818908929824829
32.0,100.0,0.8,0.001,3.0,0.3867466449737549
64.0,200.0,0.6,0.001,3.0,0.34190231561660767
128.0,200.0,0.6,0.001,2.0,0.3361896574497223
128.0,100.0,0.6,0.001,2.0,0.3876035511493683
128.0,500.0,0.6,0.001,2.0,0.29248785972595215
96.0,600.0,0.6,0.001,3.0,0.28220507502555847
32.0,200.0,0.6,0.001,3.0,0.35789772868156433
96.0,400.0,0.6,0.001,2.0,0.30905455350875854
64.0,300.0,0.8,0.001,1.0,0.3827477991580963
64.0,600.0,0.6,0.001,2.0,0.2619251608848572
128.0,600.0,0.6,0.001,3.0,0.2839188873767853
128.0,100.0,0.6,0.001,1.0,0.3856041133403778
96.0,400.0,0.8,0.001,1.0,0.3481862246990204
128.0,200.0,0.8,0.001,1.0,0.39445874094963074
