emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
32.0,600.0,0.8,0.001,2.0,0.36389604210853577
128.0,600.0,0.8,0.001,3.0,0.36332476139068604
32.0,500.0,0.8,0.001,3.0,0.37160810828208923
128.0,400.0,0.8,0.001,3.0,0.38446158170700073
64.0,300.0,0.6,0.001,2.0,0.3321908116340637
32.0,200.0,0.8,0.001,2.0,0.3930305540561676
32.0,600.0,0.6,0.001,1.0,0.3030562698841095
32.0,500.0,0.6,0.001,3.0,0.31819480657577515
96.0,500.0,0.8,0.001,1.0,0.3701799511909485
64.0,500.0,0.6,0.001,2.0,0.30991145968437195
64.0,400.0,0.6,0.001,3.0,0.32447871565818787
32.0,500.0,0.6,0.001,2.0,0.2899171710014343
96.0,400.0,0.8,0.001,2.0,0.37589260935783386
32.0,400.0,0.8,0.001,2.0,0.3656098246574402
32.0,600.0,0.8,0.001,3.0,0.33933162689208984
128.0,200.0,0.8,0.001,3.0,0.3893173336982727
96.0,100.0,0.8,0.001,3.0,0.40159955620765686
128.0,100.0,0.6,0.001,3.0,0.38417595624923706
128.0,200.0,0.6,0.001,3.0,0.37703514099121094
96.0,100.0,0.8,0.001,1.0,0.38788917660713196
64.0,400.0,0.6,0.001,1.0,0.33361896872520447
32.0,200.0,0.8,0.001,1.0,0.3921736776828766
96.0,100.0,0.8,0.001,2.0,0.39274492859840393
96.0,500.0,0.6,0.001,2.0,0.3073407709598541
96.0,200.0,0.6,0.001,1.0,0.36703798174858093
96.0,300.0,0.8,0.001,1.0,0.39360183477401733
64.0,200.0,0.8,0.001,3.0,0.39645814895629883
128.0,500.0,0.6,0.001,3.0,0.3196229636669159
128.0,500.0,0.6,0.001,1.0,0.29877176880836487
128.0,400.0,0.8,0.001,1.0,0.38617536425590515
128.0,200.0,0.8,0.001,2.0,0.40531277656555176
96.0,100.0,0.6,0.001,2.0,0.3918880224227905
96.0,100.0,0.6,0.001,1.0,0.3847472071647644
128.0,200.0,0.6,0.001,1.0,0.3690374195575714
32.0,400.0,0.8,0.001,1.0,0.3838903307914734
32.0,400.0,0.6,0.001,3.0,0.30534133315086365
64.0,200.0,0.8,0.001,1.0,0.39531561732292175
96.0,500.0,0.6,0.001,3.0,0.2944872975349426
128.0,400.0,0.8,0.001,2.0,0.38531848788261414
128.0,500.0,0.8,0.001,3.0,0.3764638602733612
64.0,600.0,0.6,0.001,1.0,0.2982005178928375
64.0,600.0,0.8,0.001,3.0,0.36046844720840454
96.0,500.0,0.6,0.001,1.0,0.30448442697525024
32.0,400.0,0.6,0.001,2.0,0.342473566532135
96.0,100.0,0.6,0.001,3.0,0.3896029591560364
64.0,100.0,0.8,0.001,1.0,0.38417595624923706
32.0,300.0,0.8,0.001,3.0,0.39245930314064026
32.0,300.0,0.8,0.001,1.0,0.3901742398738861
96.0,400.0,0.6,0.001,1.0,0.3279063105583191
128.0,300.0,0.8,0.001,2.0,0.3976006805896759
64.0,600.0,0.8,0.001,1.0,0.36132532358169556
32.0,600.0,0.6,0.001,3.0,0.3076263964176178
64.0,100.0,0.6,0.001,2.0,0.38531848788261414
32.0,300.0,0.8,0.001,2.0,0.3876035511493683
64.0,200.0,0.6,0.001,1.0,0.36760926246643066
64.0,200.0,0.8,0.001,2.0,0.3858897387981415
64.0,500.0,0.8,0.001,1.0,0.3736075460910797
128.0,300.0,0.6,0.001,1.0,0.3441873788833618
96.0,300.0,0.8,0.001,2.0,0.39731505513191223
128.0,300.0,0.6,0.001,2.0,0.33647528290748596
64.0,500.0,0.8,0.001,3.0,0.36389604210853577
96.0,300.0,0.8,0.001,3.0,0.39731505513191223
64.0,300.0,0.6,0.001,3.0,0.33933162689208984
96.0,300.0,0.6,0.001,2.0,0.3481862246990204
32.0,600.0,0.8,0.001,1.0,0.36589545011520386
32.0,100.0,0.8,0.001,2.0,0.3847472071647644
96.0,300.0,0.6,0.001,3.0,0.34847187995910645
128.0,400.0,0.6,0.001,1.0,0.32733505964279175
96.0,500.0,0.8,0.001,2.0,0.3656098246574402
96.0,200.0,0.6,0.001,3.0,0.36789488792419434
32.0,600.0,0.6,0.001,2.0,0.2959154546260834
32.0,300.0,0.6,0.001,3.0,0.34961438179016113
96.0,600.0,0.8,0.001,3.0,0.3436160981655121
64.0,300.0,0.8,0.001,2.0,0.37989145517349243
32.0,500.0,0.6,0.001,1.0,0.3113396167755127
64.0,100.0,0.6,0.001,3.0,0.3930305540561676
96.0,200.0,0.6,0.001,2.0,0.36703798174858093
32.0,400.0,0.6,0.001,1.0,0.3230505585670471
128.0,100.0,0.8,0.001,1.0,0.3856041133403778
96.0,400.0,0.6,0.001,3.0,0.33447587490081787
96.0,500.0,0.8,0.001,3.0,0.3864610195159912
96.0,200.0,0.8,0.001,3.0,0.40445587038993835
128.0,600.0,0.8,0.001,1.0,0.37532132863998413
128.0,600.0,0.6,0.001,2.0,0.3076263964176178
128.0,100.0,0.8,0.001,2.0,0.38046273589134216
32.0,300.0,0.6,0.001,2.0,0.34218794107437134
64.0,600.0,0.6,0.001,3.0,0.31276777386665344
128.0,500.0,0.8,0.001,1.0,0.36675235629081726
96.0,600.0,0.6,0.001,1.0,0.311053991317749
64.0,100.0,0.8,0.001,2.0,0.3893173336982727
64.0,300.0,0.8,0.001,3.0,0.39360183477401733
96.0,600.0,0.6,0.001,2.0,0.31162524223327637
128.0,300.0,0.8,0.001,1.0,0.3893173336982727
64.0,200.0,0.6,0.001,2.0,0.3536132574081421
128.0,600.0,0.6,0.001,1.0,0.3130533993244171
96.0,300.0,0.6,0.001,1.0,0.34304484724998474
64.0,300.0,0.6,0.001,1.0,0.34133103489875793
64.0,500.0,0.6,0.001,3.0,0.326763778924942
64.0,400.0,0.8,0.001,3.0,0.37160810828208923
128.0,600.0,0.8,0.001,2.0,0.357326477766037
64.0,400.0,0.6,0.001,2.0,0.33190515637397766
96.0,600.0,0.8,0.001,1.0,0.37046557664871216
64.0,500.0,0.8,0.001,2.0,0.3647529184818268
64.0,500.0,0.6,0.001,1.0,0.32447871565818787
128.0,300.0,0.6,0.001,3.0,0.3396172523498535
128.0,400.0,0.6,0.001,3.0,0.326763778924942
32.0,500.0,0.8,0.001,2.0,0.36789488792419434
64.0,100.0,0.6,0.001,1.0,0.3918880224227905
32.0,200.0,0.6,0.001,1.0,0.3636103868484497
128.0,300.0,0.8,0.001,3.0,0.38988861441612244
32.0,100.0,0.8,0.001,3.0,0.3918880224227905
64.0,200.0,0.6,0.001,3.0,0.36703798174858093
128.0,200.0,0.6,0.001,2.0,0.3598971664905548
128.0,100.0,0.6,0.001,2.0,0.39074549078941345
128.0,500.0,0.6,0.001,2.0,0.32447871565818787
96.0,600.0,0.6,0.001,3.0,0.2899171710014343
32.0,200.0,0.6,0.001,3.0,0.357326477766037
96.0,400.0,0.6,0.001,2.0,0.3404741585254669
64.0,300.0,0.8,0.001,1.0,0.3873178958892822
64.0,600.0,0.6,0.001,2.0,0.3104827105998993
