emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
32.0,600.0,0.8,0.001,2.0,0.3507569134235382
128.0,600.0,0.8,0.001,3.0,0.34018850326538086
32.0,500.0,0.8,0.001,3.0,0.36960867047309875
128.0,400.0,0.8,0.001,3.0,0.3756069839000702
64.0,300.0,0.6,0.001,2.0,0.3333333432674408
32.0,200.0,0.8,0.001,2.0,0.38903170824050903
32.0,600.0,0.6,0.001,1.0,0.285347044467926
32.0,500.0,0.6,0.001,3.0,0.3187660574913025
96.0,500.0,0.8,0.001,1.0,0.3544701635837555
64.0,500.0,0.6,0.001,2.0,0.3039131760597229
64.0,400.0,0.6,0.001,3.0,0.32733505964279175
32.0,500.0,0.6,0.001,2.0,0.2864895761013031
96.0,400.0,0.8,0.001,2.0,0.37217938899993896
32.0,400.0,0.8,0.001,2.0,0.3664667308330536
32.0,600.0,0.8,0.001,3.0,0.35789772868156433
128.0,200.0,0.8,0.001,3.0,0.3958868980407715
96.0,100.0,0.8,0.001,3.0,0.39331620931625366
128.0,100.0,0.6,0.001,3.0,0.37789201736450195
128.0,200.0,0.6,0.001,3.0,0.3644672930240631
96.0,100.0,0.8,0.001,1.0,0.39645814895629883
64.0,400.0,0.6,0.001,1.0,0.32076549530029297
32.0,200.0,0.8,0.001,1.0,0.3884604275226593
96.0,100.0,0.8,0.001,2.0,0.40559840202331543
96.0,500.0,0.6,0.001,2.0,0.33104828000068665
96.0,200.0,0.6,0.001,1.0,0.3561839461326599
96.0,300.0,0.8,0.001,1.0,0.38360467553138733
64.0,200.0,0.8,0.001,3.0,0.3976006805896759
128.0,500.0,0.6,0.001,3.0,0.30705511569976807
128.0,500.0,0.6,0.001,1.0,0.2827763557434082
128.0,400.0,0.8,0.001,1.0,0.38074836134910583
128.0,200.0,0.8,0.001,2.0,0.40102827548980713
96.0,100.0,0.6,0.001,2.0,0.39331620931625366
96.0,100.0,0.6,0.001,1.0,0.3901742398738861
128.0,200.0,0.6,0.001,1.0,0.36675235629081726
32.0,400.0,0.8,0.001,1.0,0.37874892354011536
32.0,400.0,0.6,0.001,3.0,0.31619536876678467
64.0,200.0,0.8,0.001,1.0,0.3913167715072632
96.0,500.0,0.6,0.001,3.0,0.3176235258579254
128.0,400.0,0.8,0.001,2.0,0.37874892354011536
128.0,500.0,0.8,0.001,3.0,0.35218510031700134
64.0,600.0,0.6,0.001,1.0,0.2959154546260834
64.0,600.0,0.8,0.001,3.0,0.3598971664905548
96.0,500.0,0.6,0.001,1.0,0.30334189534187317
32.0,400.0,0.6,0.001,2.0,0.331619530916214
96.0,100.0,0.6,0.001,3.0,0.38531848788261414
64.0,100.0,0.8,0.001,1.0,0.3838903307914734
32.0,300.0,0.8,0.001,3.0,0.3827477991580963
32.0,300.0,0.8,0.001,1.0,0.38074836134910583
96.0,400.0,0.6,0.001,1.0,0.32733505964279175
128.0,300.0,0.8,0.001,2.0,0.38503286242485046
64.0,600.0,0.8,0.001,1.0,0.3616109788417816
32.0,600.0,0.6,0.001,3.0,0.29877176880836487
64.0,100.0,0.6,0.001,2.0,0.3904598653316498
32.0,300.0,0.8,0.001,2.0,0.3684661388397217
64.0,200.0,0.6,0.001,1.0,0.3536132574081421
64.0,200.0,0.8,0.001,2.0,0.39331620931625366
64.0,500.0,0.8,0.001,1.0,0.3690374195575714
128.0,300.0,0.6,0.001,1.0,0.3379034698009491
