emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
32.0,600.0,0.8,0.001,2.0,0.3616109788417816
128.0,600.0,0.8,0.001,3.0,0.3718937337398529
32.0,500.0,0.8,0.001,3.0,0.37160810828208923
128.0,400.0,0.8,0.001,3.0,0.38074836134910583
64.0,300.0,0.6,0.001,2.0,0.3241930902004242
32.0,200.0,0.8,0.001,2.0,0.3864610195159912
32.0,600.0,0.6,0.001,1.0,0.30077120661735535
32.0,500.0,0.6,0.001,3.0,0.30619823932647705
96.0,500.0,0.8,0.001,1.0,0.352470725774765
64.0,500.0,0.6,0.001,2.0,0.2810625433921814
64.0,400.0,0.6,0.001,3.0,0.31276777386665344
32.0,500.0,0.6,0.001,2.0,0.2973436117172241
96.0,400.0,0.8,0.001,2.0,0.3718937337398529
32.0,400.0,0.8,0.001,2.0,0.36589545011520386
32.0,600.0,0.8,0.001,3.0,0.34475862979888916
128.0,200.0,0.8,0.001,3.0,0.3950299918651581
96.0,100.0,0.8,0.001,3.0,0.38160526752471924
128.0,100.0,0.6,0.001,3.0,0.40445587038993835
128.0,200.0,0.6,0.001,3.0,0.3507569134235382
96.0,100.0,0.8,0.001,1.0,0.3827477991580963
64.0,400.0,0.6,0.001,1.0,0.305912584066391
32.0,200.0,0.8,0.001,1.0,0.3976006805896759
96.0,100.0,0.8,0.001,2.0,0.3950299918651581
96.0,500.0,0.6,0.001,2.0,0.26421022415161133
96.0,200.0,0.6,0.001,1.0,0.36703798174858093
96.0,300.0,0.8,0.001,1.0,0.38160526752471924
64.0,200.0,0.8,0.001,3.0,0.39331620931625366
128.0,500.0,0.6,0.001,3.0,0.28249073028564453
128.0,500.0,0.6,0.001,1.0,0.2847757637500763
128.0,400.0,0.8,0.001,1.0,0.3918880224227905
128.0,200.0,0.8,0.001,2.0,0.39360183477401733
96.0,100.0,0.6,0.001,2.0,0.3893173336982727
96.0,100.0,0.6,0.001,1.0,0.3996001183986664
128.0,200.0,0.6,0.001,1.0,0.3507569134235382
32.0,400.0,0.8,0.001,1.0,0.3793202042579651
32.0,400.0,0.6,0.001,3.0,0.311053991317749
64.0,200.0,0.8,0.001,1.0,0.3941730856895447
96.0,500.0,0.6,0.001,3.0,0.274493008852005
128.0,400.0,0.8,0.001,2.0,0.3767494857311249
128.0,500.0,0.8,0.001,3.0,0.36503857374191284
64.0,600.0,0.6,0.001,1.0,0.2873464822769165
64.0,600.0,0.8,0.001,3.0,0.34190231561660767
96.0,500.0,0.6,0.001,1.0,0.31076836585998535
32.0,400.0,0.6,0.001,2.0,0.3039131760597229
96.0,100.0,0.6,0.001,3.0,0.3858897387981415
64.0,100.0,0.8,0.001,1.0,0.3913167715072632
32.0,300.0,0.8,0.001,3.0,0.3827477991580963
32.0,300.0,0.8,0.001,1.0,0.3838903307914734
96.0,400.0,0.6,0.001,1.0,0.33561840653419495
128.0,300.0,0.8,0.001,2.0,0.39360183477401733
64.0,600.0,0.8,0.001,1.0,0.3684661388397217
32.0,600.0,0.6,0.001,3.0,0.30077120661735535
64.0,100.0,0.6,0.001,2.0,0.3913167715072632
32.0,300.0,0.8,0.001,2.0,0.38988861441612244
64.0,200.0,0.6,0.001,1.0,0.36503857374191284
64.0,200.0,0.8,0.001,2.0,0.3984575867652893
64.0,500.0,0.8,0.001,1.0,0.38446158170700073
128.0,300.0,0.6,0.001,1.0,0.315909743309021
96.0,300.0,0.8,0.001,2.0,0.3801770806312561
128.0,300.0,0.6,0.001,2.0,0.34104540944099426
64.0,500.0,0.8,0.001,3.0,0.36418166756629944
96.0,300.0,0.8,0.001,3.0,0.393887460231781
64.0,300.0,0.6,0.001,3.0,0.34275922179222107
96.0,300.0,0.6,0.001,2.0,0.3399028778076172
32.0,600.0,0.8,0.001,1.0,0.3570408523082733
32.0,100.0,0.8,0.001,2.0,0.3736075460910797
96.0,300.0,0.6,0.001,3.0,0.3284775912761688
128.0,400.0,0.6,0.001,1.0,0.29248785972595215
96.0,500.0,0.8,0.001,2.0,0.37960582971572876
96.0,200.0,0.6,0.001,3.0,0.36503857374191284
32.0,600.0,0.6,0.001,2.0,0.28591829538345337
32.0,300.0,0.6,0.001,3.0,0.342473566532135
96.0,600.0,0.8,0.001,3.0,0.36046844720840454
64.0,300.0,0.8,0.001,2.0,0.39731505513191223
32.0,500.0,0.6,0.001,1.0,0.28506141901016235
64.0,100.0,0.6,0.001,3.0,0.38160526752471924
96.0,200.0,0.6,0.001,2.0,0.3718937337398529
32.0,400.0,0.6,0.001,1.0,0.29334476590156555
128.0,100.0,0.8,0.001,1.0,0.3838903307914734
96.0,400.0,0.6,0.001,3.0,0.30819764733314514
96.0,500.0,0.8,0.001,3.0,0.37246501445770264
96.0,200.0,0.8,0.001,3.0,0.3956012427806854
128.0,600.0,0.8,0.001,1.0,0.3644672930240631
128.0,600.0,0.6,0.001,2.0,0.25649815797805786
128.0,100.0,0.8,0.001,2.0,0.3910311460494995
32.0,300.0,0.6,0.001,2.0,0.33761781454086304
64.0,600.0,0.6,0.001,3.0,0.25649815797805786
128.0,500.0,0.8,0.001,1.0,0.37217938899993896
96.0,600.0,0.6,0.001,1.0,0.29163095355033875
