t_id;t_date;c_id;recency;payment;month;dayofweek;item_code;category_code;method_code
436574.0;2017-04-01;21;100;78;4;6;96;10;1
436575.0;2017-04-01;59;100;4;4;6;62;1;1
436576.0;2017-04-01;59;100;2;4;6;13;5;1
436578.0;2017-04-01;21;100;4;4;6;97;5;1
436579.0;2017-04-01;21;100;2;4;6;13;5;1
436581.0;2017-04-01;21;100;3;4;6;33;2;1
436582.0;2017-04-01;21;100;5;4;6;98;10;1
436587.0;2017-04-01;60;100;1;4;6;99;8;1
436594.0;2017-04-01;61;100;3;4;6;100;11;1
436595.0;2017-04-01;61;100;3;4;6;101;11;1
436596.0;2017-04-01;61;100;2;4;6;102;11;1
436599.0;2017-04-01;62;100;6;4;6;103;6;1
436600.0;2017-04-01;63;100;4;4;6;104;2;1
436603.0;2017-04-01;64;100;2;4;6;105;2;1
436631.0;2017-04-01;65;100;4;4;6;106;10;1
436633.0;2017-04-01;66;100;3;4;6;107;5;1
436638.0;2017-04-01;67;100;4;4;6;41;4;1
436641.0;2017-04-01;68;100;1;4;6;91;1;1
436643.0;2017-04-01;69;100;4;4;6;108;2;1
436644.0;2017-04-01;69;100;4;4;6;109;2;1
436646.0;2017-04-01;67;100;11;4;6;110;4;1
436652.0;2017-04-01;70;100;4;4;6;32;2;1
436653.0;2017-04-01;70;100;3;4;6;111;2;1
436655.0;2017-04-01;67;100;4;4;6;112;7;1
436656.0;2017-04-01;67;100;6;4;6;66;7;1
436660.0;2017-04-01;71;100;3;4;6;113;11;1
436663.0;2017-04-01;67;100;3;4;6;114;8;1
436664.0;2017-04-01;72;100;4;4;6;62;1;1
436666.0;2017-04-01;73;100;4;4;6;115;5;1
436667.0;2017-04-01;73;100;1;4;6;116;10;1
436668.0;2017-04-01;74;100;11;4;6;117;10;1
436670.0;2017-04-01;75;100;1;4;6;99;8;1
436672.0;2017-04-01;76;100;4;4;6;118;2;1
436674.0;2017-04-01;76;100;5;4;6;119;2;1
436679.0;2017-04-01;77;100;4;4;6;13;5;1
436682.0;2017-04-01;78;100;2;4;6;120;4;1
436686.0;2017-04-02;79;99;3;4;7;122;2;1
436688.0;2017-04-02;79;99;2;4;7;123;5;1
436689.0;2017-04-02;79;99;2;4;7;124;11;1
436695.0;2017-04-02;80;99;37;4;7;125;3;1
436702.0;2017-04-02;81;99;3;4;7;126;3;2
436704.0;2017-04-02;82;99;2;4;7;127;10;1
436705.0;2017-04-02;82;99;2;4;7;128;10;1
436706.0;2017-04-02;82;99;3;4;7;67;2;1
436720.0;2017-04-02;83;99;11;4;7;129;10;3
436724.0;2017-04-02;84;99;4;4;7;130;5;3
436725.0;2017-04-02;84;99;4;4;7;90;8;3
436727.0;2017-04-02;85;99;167;4;7;131;10;2
436729.0;2017-04-02;86;99;2;4;7;62;1;1
436730.0;2017-04-02;86;99;4;4;7;90;8;1
436731.0;2017-04-02;87;99;6;4;7;66;7;1
436738.0;2017-04-02;88;99;12;4;7;132;3;1
436736.0;2017-04-02;89;99;2;4;7;133;13;1
436746.0;2017-04-02;90;99;6;4;7;134;13;1
436747.0;2017-04-02;90;99;5;4;7;135;2;1
436749.0;2017-04-02;90;99;2;4;7;2;2;1
436751.0;2017-04-02;90;99;6;4;7;136;2;1
436753.0;2017-04-02;91;99;2;4;7;137;13;1
436754.0;2017-04-02;91;99;1;4;7;35;11;1
436755.0;2017-04-02;91;99;1;4;7;138;11;1
436756.0;2017-04-02;91;99;1;4;7;139;11;1
436758.0;2017-04-02;92;99;4;4;7;140;2;1
436766.0;2017-04-02;93;99;3;4;7;141;11;1
436772.0;2017-04-02;94;99;1;4;7;142;11;1
436773.0;2017-04-02;94;99;1;4;7;124;11;1
436774.0;2017-04-02;94;99;5;4;7;143;3;1
436775.0;2017-04-02;95;99;14;4;7;144;10;1
