c_id;item_name;item_code
12129.0;MEFALH59ACE4F2D0A2A;4735.0
12129.0;MEFNAR59F72525A2753;5525.0
10330.0;APPNAT5A018FEDA562F;5666.0
2827.0;MOR59F333319808D;5509.0
2827.0;DET59F31AB0BCEDF;6478.0
2827.0;BAGLOR5A12C5B831E9C;7310.0
9365.0;WOFDEA5A2A88B6DAE25;8914.0
11433.0;MEFBIS59ACE0423D1E5;4928.0
1234.0;MEFMIL5A7DBB76B703D-M;8831.0
2455.0;SOGAME5A82D17C3C488;8966.0
2455.0;SOGALM5A8BD55915F08;8606.0
12077.0;MATROM59DCD0CA7B341;6318.0
3297.0;SOGSND5A437540871D2;7846.0
5735.0;KNO59D64DAC18B6C;5175.0
5840.0;MOR5A816ECA30809;8468.0
2669.0;BAGDOV5A099F4EF3FFA;7479.0
2669.0;HAR5A816ECAE120A;8311.0
10543.0;MATSAM5A38C850C82B4;8305.0
11853.0;MOR59F333319808D;5509.0
1236.0;WOFSIT5A993A74986E1;8724.0
1236.0;WOFDEA5A279DA14235C;8227.0
5568.0;HAR5A816ECAE120A;8311.0
749.0;ENTORI5A8D3C794E5AC;8509.0
9464.0;APPDAW5A800C7B4BB06;8446.0
9464.0;SOGALM5A8BD55CD82F1;8655.0
3175.0;SOGAMB5A2E671651624;7671.0
3175.0;SOGAMB5A09BA25616A0;6413.0
1567.0;MEFMIL5A7DBB76B703D-M;8831.0
1567.0;HAR5A816ECAE120A;8311.0
2843.0;DET5A816ECB84C30;8282.0
2843.0;HALE2B5A7036379313A;8165.0
10608.0;HASQAR5A536933D5093;8123.0
10608.0;HASQAR5A536944C458A;7952.0
10608.0;HASQAR5A53696BB91CB;8108.0
10608.0;HASQAR5A53699ADA7FA;8068.0
10608.0;HASQAR5A5369353973B;8073.0
1416.0;MEFTEL59AC647DE7571;5124.0
10608.0;HASQAR5A5369A2BCAEB;7932.0
10608.0;HASQAR5A53699375950;8658.0
8649.0;ENTUNI5A8E884EBC944;8791.0
4656.0;MEFDEA5A27C2E6F142C;7638.0
4656.0;MEFKUR59AD968DC5416;5065.0
5333.0;APPDAW59E0BC5C6B1E7;5409.0
5273.0;WOFSIT5A993A7D9C246;8718.0
5273.0;WOFSIT5A993A75127F5;8758.0
5273.0;WOFSIT5A993A524597B;8716.0
5273.0;WOFSIT5A993A4F73E13;8819.0
