model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
1.0,lstm,128.0,600.0,0.8,0.001,1.0,0.3479005992412567
1.0,lstm,128.0,300.0,0.6,0.001,2.0,0.3221936523914337
1.0,lstm,96.0,500.0,0.8,0.001,1.0,0.34561553597450256
1.0,lstm,128.0,300.0,0.6,0.001,1.0,0.33019137382507324
1.0,lstm,128.0,600.0,0.6,0.001,2.0,0.2910597026348114
1.0,lstm,96.0,100.0,0.8,0.001,1.0,0.3930305540561676
1.0,lstm,64.0,300.0,0.6,0.001,2.0,0.3101970851421356
1.0,lstm,96.0,300.0,0.6,0.001,2.0,0.3370465636253357
1.0,lstm,32.0,500.0,0.6,0.001,2.0,0.2939160168170929
1.0,lstm,96.0,200.0,0.6,0.001,2.0,0.34390175342559814
1.0,lstm,64.0,200.0,0.8,0.001,1.0,0.3784632980823517
1.0,lstm,128.0,400.0,0.6,0.001,2.0,0.3021993637084961
1.0,lstm,64.0,500.0,0.6,0.001,1.0,0.311053991317749
1.0,lstm,64.0,400.0,0.8,0.001,2.0,0.3341902196407318
1.0,lstm,64.0,200.0,0.6,0.001,1.0,0.3499000370502472
1.0,lstm,64.0,100.0,0.6,0.001,1.0,0.36246785521507263
1.0,lstm,32.0,500.0,0.8,0.001,1.0,0.3673236072063446
1.0,lstm,128.0,400.0,0.8,0.001,1.0,0.3673236072063446
1.0,lstm,32.0,400.0,0.8,0.001,2.0,0.3701799511909485
1.0,lstm,96.0,400.0,0.6,0.001,1.0,0.3030562698841095
1.0,lstm,128.0,100.0,0.6,0.001,2.0,0.3656098246574402
1.0,lstm,32.0,100.0,0.8,0.001,1.0,0.37246501445770264
2.0,lstm,96.0,600.0,0.6,0.001,2.0,0.29791489243507385
2.0,lstm,96.0,200.0,0.8,0.001,2.0,0.3930305540561676
2.0,lstm,64.0,600.0,0.8,0.001,2.0,0.3561839461326599
2.0,lstm,64.0,400.0,0.8,0.001,2.0,0.37589260935783386
2.0,lstm,32.0,100.0,0.8,0.001,1.0,0.3856041133403778
2.0,lstm,32.0,500.0,0.8,0.001,2.0,0.3673236072063446
2.0,lstm,128.0,500.0,0.6,0.001,1.0,0.31076836585998535
2.0,lstm,64.0,500.0,0.8,0.001,2.0,0.35675522685050964
2.0,lstm,96.0,100.0,0.6,0.001,2.0,0.39531561732292175
2.0,lstm,96.0,200.0,0.6,0.001,1.0,0.37160810828208923
2.0,lstm,64.0,100.0,0.8,0.001,1.0,0.3884604275226593
2.0,lstm,96.0,500.0,0.8,0.001,2.0,0.3718937337398529
2.0,lstm,96.0,600.0,0.6,0.001,1.0,0.30077120661735535
2.0,lstm,128.0,500.0,0.6,0.001,2.0,0.30162811279296875
2.0,lstm,32.0,600.0,0.6,0.001,2.0,0.300199955701828
2.0,lstm,96.0,500.0,0.8,0.001,1.0,0.36132532358169556
2.0,lstm,128.0,300.0,0.8,0.001,2.0,0.398743212223053
2.0,lstm,128.0,400.0,0.6,0.001,1.0,0.3013424873352051
