model;n_padded;k;style;replication;precision;recall;mrr;hit;coverage
1;10;5;lstm;1;0.024255319148936156;0.06457863996662495;0.05960992907801417;0.10212765957446808;0.05779266297998287
1;10;5;lstm;2;0.02646264626462641;0.07298625966492756;0.06521152115211526;0.11791179117911792;0.0928337461052968
1;10;5;lstm;3;0.01858304297328685;0.050147945357004585;0.05495547812620986;0.08246225319396051;0.08508691674290943
1;10;5;lstm;4;0.016862745098039193;0.0440928397502792;0.04565359477124183;0.07647058823529412;0.1091576342067082
1;10;5;lstm;5;0.01865671641791041;0.05466474759926855;0.049092039800995045;0.08134328358208955;0.13043095866314863
2;10;5;lstm;1;0.02425531914893616;0.07016627927766853;0.05482269503546099;0.10212765957446808;0.0668276345509775
2;10;5;lstm;2;0.02952295229522947;0.07450397637166316;0.06909690969096911;0.1251125112511251;0.08580330750179756
2;10;5;lstm;3;0.015795586527293827;0.04299080065630587;0.04972899728997291;0.07317073170731707;0.08517009065956915
2;10;5;lstm;4;0.014705882352941155;0.04135614929732578;0.0388235294117647;0.06862745098039216;0.1040368695058462
2;10;5;lstm;5;0.01865671641791041;0.053260798412176256;0.051604477611940314;0.08208955223880597;0.12717678100263852
3;10;5;lstm;1;0.022978723404255313;0.06703111031646701;0.05890070921985814;0.10851063829787234;0.06347846405483293
3;10;5;lstm;2;0.02574257425742569;0.06568588677049525;0.06492649264926495;0.10981098109810981;0.08316689302548534
3;10;5;lstm;3;0.015563298490127749;0.04291982375606069;0.04926442121564073;0.06968641114982578;0.08042917740996423
3;10;5;lstm;4;0.014705882352941157;0.03998476741123801;0.03823529411764706;0.06862745098039216;0.1058291371511479
3;10;5;lstm;5;0.01805970149253728;0.054303528484757085;0.050696517412935335;0.08208955223880597;0.13623570800351803
4;10;5;lstm;1;0.018723404255319157;0.05267730496453901;0.047092198581560274;0.0851063829787234;0.05249630033491705
4;10;5;lstm;2;0.027002700270026953;0.07046318268190457;0.06560156015601563;0.11611161116111611;0.07126308220819685
4;10;5;lstm;3;0.01718931475029034;0.047276607119812686;0.053813395276809915;0.07897793263646923;0.07993013391000582
4;10;5;lstm;4;0.013921568627450965;0.04104578332086983;0.03467320261437908;0.06372549019607843;0.10028164205854741
4;10;5;lstm;5;0.018656716417910415;0.05285609017706359;0.05019900497512439;0.08208955223880597;0.13043095866314863
5;10;5;lstm;1;0.025106382978723397;0.06983416770963705;0.0626241134751773;0.10638297872340426;0.05428771711192461
5;10;5;lstm;2;0.028262826282628203;0.07229232663526092;0.07200720072007202;0.12151215121512152;0.06958536390508908
5;10;5;lstm;3;0.01881533101045294;0.04935429456335379;0.057549361207897796;0.0859465737514518;0.07044830741079597
5;10;5;lstm;4;0.015098039215686254;0.04059578941499358;0.03949346405228758;0.07058823529411765;0.08867457540326022
5;10;5;lstm;5;0.017014925373134298;0.04896585827768388;0.05145522388059702;0.07611940298507462;0.1177660510114336
6;10;5;lstm;1;0.02297872340425531;0.06520963704630789;0.05496453900709218;0.10212765957446808;0.06464677934418568
6;10;5;lstm;2;0.025742574257425693;0.06567711118937983;0.06248124812481251;0.11071107110711072;0.08356634976432052
6;10;5;lstm;3;0.014634146341463403;0.03876122264624006;0.045586527293844374;0.06852497096399536;0.07743491641021376
6;10;5;lstm;4;0.014509803921568611;0.03820986289252543;0.036258169934640525;0.06666666666666667;0.09661176068959632
6;10;5;lstm;5;0.018208955223880562;0.0523611300871348;0.05338308457711445;0.08134328358208955;0.13289357959542655
7;10;5;lstm;1;0.025106382978723394;0.06843599141784375;0.054716312056737576;0.10212765957446808;0.06565931926162474
7;10;5;lstm;2;0.029342934293429292;0.06970080830782123;0.07133213321332135;0.12331233123312331;0.08388591515538867
7;10;5;lstm;3;0.017421602787456424;0.050007374223402096;0.0548393341076268;0.08130081300813008;0.07976378607668635
7;10;5;lstm;4;0.012549019607843126;0.03599248790425261;0.031209150326797382;0.058823529411764705;0.09942818127507042
7;10;5;lstm;5;0.020149253731343242;0.05989468484083881;0.0549129353233831;0.09179104477611941;0.13518029903254178
8;10;5;lstm;1;0.021276595744680847;0.05715209488050539;0.054113475177304964;0.09574468085106383;0.06433522860035829
8;10;5;lstm;2;0.02916291629162911;0.07495388302240728;0.0654515451545155;0.12421242124212421;0.08564352480626349
8;10;5;lstm;3;0.01858304297328685;0.04980402199762902;0.05540069686411152;0.08362369337979095;0.08175996007652
8;10;5;lstm;4;0.01588235294117645;0.04538425626660921;0.037467320261437925;0.07352941176470588;0.1057437910728002
8;10;5;lstm;5;0.018208955223880562;0.05516132225841509;0.04847014925373136;0.08208955223880597;0.137467018469657
1;12;5;lstm;1;0.02553191489361701;0.06133589606055189;0.06329787234042553;0.10638297872340426;0.06417945322844458
