model;n_padded;k;style;replication;precision;recall;mrr;hit;coverage
1;10;5;lstm;1;0.03010033444816054;0.07263382650265482;0.07079152731326645;0.12040133779264214;0.07204919128458762
1;10;5;lstm;2;0.03411371237458193;0.08529696783197152;0.07502787068004459;0.13712374581939799;0.07432161475738537
1;10;5;lstm;3;0.03277591973244147;0.08102593795298292;0.07948717948717945;0.13712374581939799;0.07833177382702847
1;10;5;lstm;4;0.03277591973244147;0.08643284988163397;0.08032329988851726;0.14046822742474915;0.07726239807512365
1;10;5;lstm;5;0.03210702341137123;0.08754956662104785;0.07831661092530658;0.13377926421404682;0.0794011495789333
1;10;5;lstm;6;0.031438127090301006;0.09395793349367411;0.08049052396878482;0.14381270903010032;0.07605935035423071
1;10;5;lstm;7;0.03143812709030101;0.08713265363965439;0.07742474916387956;0.14381270903010032;0.079000133671969
1;10;5;lstm;8;0.03478260869565216;0.09284195907261493;0.08093645484949831;0.14046822742474915;0.07833177382702847
1;10;5;lstm;9;0.028762541806020073;0.07500776060098094;0.07285395763656631;0.12040133779264214;0.07980216548589761
1;10;5;lstm;10;0.032107023411371234;0.08615603261881817;0.079041248606466;0.13043478260869565;0.07579200641625451
2;10;5;lstm;1;0.03277591973244147;0.09217022844509949;0.08026755852842807;0.14381270903010032;0.07044512765673039
2;10;5;lstm;2;0.03277591973244147;0.09114697633489087;0.07709030100334448;0.14046822742474915;0.07311856703649244
2;10;5;lstm;3;0.031438127090301006;0.09445656897757118;0.07692307692307691;0.14046822742474915;0.08033685336185002
2;10;5;lstm;4;0.028762541806020076;0.08888054343102243;0.0761426978818283;0.13712374581939799;0.0753909905092902
2;10;5;lstm;5;0.030769230769230774;0.09314570224666026;0.07357859531772575;0.14046822742474915;0.0749899746023259
2;10;5;lstm;6;0.028762541806020076;0.08450882818974198;0.06950947603121516;0.13377926421404682;0.07766341398208795
2;10;5;lstm;7;0.030769230769230774;0.09496033320646438;0.08266443701226307;0.14715719063545152;0.07819810185804037
2;10;5;lstm;8;0.02809364548494984;0.07308468367790402;0.07346711259754737;0.12040133779264214;0.0713808314396471
2;10;5;lstm;9;0.03143812709030101;0.09064132256836754;0.0822185061315496;0.13712374581939799;0.07846544579601658
2;10;5;lstm;10;0.028762541806020076;0.08670757515635925;0.07513935340022296;0.13043478260869565;0.0752573185403021
3;10;5;lstm;1;0.031438127090301006;0.09407870644053401;0.08344481605351169;0.14715719063545152;0.07993583745488571
3;10;5;lstm;2;0.028762541806020083;0.09350707631842488;0.06789297658862876;0.13712374581939799;0.0795348215479214
3;10;5;lstm;3;0.02675585284280938;0.07882719098636565;0.0680602006688963;0.12040133779264214;0.08180724502071915
3;10;5;lstm;4;0.031438127090301006;0.0941769174083102;0.0672798216276477;0.13712374581939799;0.07980216548589761
