model;n_padded;k;style;replication;precision;recall;mrr;hit;coverage
1;10;5;lstm;1;0.021702127659574466;0.0648758865248227;0.05886524822695034;0.1;0.05872731521146507
1;10;5;lstm;2;0.02610261026102605;0.06721438377603996;0.059900990099009926;0.1116111611161116;0.09403211632180235
1;10;5;lstm;3;0.01718931475029034;0.04691849639584831;0.05131629887727449;0.07897793263646923;0.09090909090909091
1;10;5;lstm;4;0.016666666666666646;0.04423831791046323;0.04352941176470588;0.07352941176470588;0.1036954851924554
1;10;5;lstm;5;0.016716417910447732;0.05085638142149939;0.04610696517412937;0.07313432835820896;0.13430079155672822
1;10;5;lstm;6;0.0;0.0;0.0;0.0;0.005551403864631152
1;10;5;lstm;7;0.0;0.0;0.0;0.0;0.010056497175141243
1;10;5;lstm;8;0.024;0.06444444444444446;0.05822222222222223;0.09333333333333334;0.0234000234000234
1;10;5;lstm;9;0.003987408184679958;0.008579423374806374;0.00696047569080098;0.017838405036726127;0.0025310353139689043
1;10;5;lstm;10;0.0022222222222222227;0.003964453302688597;0.0045315904139433556;0.011111111111111112;0.0012495314257153568
2;10;5;lstm;1;0.02;0.05852836879432624;0.051595744680851055;0.09148936170212765;0.057247449178284913
2;10;5;lstm;2;0.025562556255625514;0.06782467207759739;0.05667566756675672;0.10981098109810981;0.08708156906607015
2;10;5;lstm;3;0.016492450638792087;0.04223309920174031;0.04891598915989161;0.07549361207897794;0.08841387340929885
2;10;5;lstm;4;0.01333333333333332;0.03835622710622712;0.034509803921568626;0.06274509803921569;0.1059144832294956
2;10;5;lstm;5;0.015074626865671617;0.047182534538697286;0.04250000000000001;0.06940298507462686;0.13175021987686894
2;10;5;lstm;6;0.004179104477611942;0.008935481323541024;0.01747927031509121;0.020895522388059702;0.11583217679086154
2;10;5;lstm;7;0.00044543429844097997;0.0011135857461024498;0.0005567928730512249;0.0022271714922048997;0.07491525423728813
2;10;5;lstm;8;0.024;0.05888888888888888;0.06555555555555555;0.09333333333333334;0.024687024687024686
2;10;5;lstm;9;0.0123819517313746;0.026161047903532932;0.03975166142007694;0.053515215110178385;0.11534289502229722
2;10;5;lstm;10;0.0070588235294117615;0.014257234232724425;0.014150326797385617;0.03398692810457516;0.004998125702861427
3;10;5;lstm;1;0.01872340425531915;0.048776595744680844;0.045567375886524826;0.08085106382978724;0.06597087000545214
3;10;5;lstm;2;0.02520252025202515;0.06616018744731621;0.05942094209420947;0.10621062106210621;0.09618918271151235
3;10;5;lstm;3;0.01579558652729383;0.04757848939033607;0.049438637243515285;0.07665505226480836;0.09964235215836313
3;10;5;lstm;4;0.010784313725490192;0.0327686864219372;0.027794117647058816;0.050980392156862744;0.1122300930272254
3;10;5;lstm;5;0.015820895522388034;0.04584991193741796;0.04539800995024877;0.07238805970149254;0.1355321020228672
3;10;5;lstm;6;0.005771144278606968;0.011965963831635474;0.01993366500829187;0.027860696517412936;0.11476459912458631
3;10;5;lstm;7;0.0;0.0;0.0;0.0;0.08067796610169492
3;10;5;lstm;8;0.021333333333333336;0.055555555555555546;0.050444444444444445;0.08;0.023985023985023984
3;10;5;lstm;9;0.013011542497376696;0.027120392278407214;0.03871983210912907;0.05981112277019937;0.10907556948294564
3;10;5;lstm;10;0.008888888888888884;0.021450577381949932;0.023387799564270152;0.03725490196078431;0.17468449331500688
4;10;5;lstm;1;0.023404255319148932;0.0738323201621074;0.05319148936170213;0.10851063829787234;0.057481112236155464
4;10;5;lstm;2;0.02376237623762372;0.06378637863786381;0.05862586258625867;0.10261026102610261;0.07805384676839498
4;10;5;lstm;3;0.015563298490127747;0.04108087679516251;0.04723190089043749;0.07200929152148665;0.0864176994094652
4;10;5;lstm;4;0.013529411764705868;0.03642206005209102;0.033594771241830065;0.06274509803921569;0.09789195186481181
4;10;5;lstm;5;0.016716417910447732;0.04829740432894021;0.044813432835820906;0.07462686567164178;0.1218117854001759
4;10;5;lstm;6;0.005970149253731346;0.013365711126905154;0.019203980099502485;0.029850746268656716;0.08465890893562507
4;10;5;lstm;7;0.00044543429844097997;0.00044543429844097997;0.00044543429844097997;0.0022271714922048997;0.060225988700564975
4;10;5;lstm;8;0.021333333333333333;0.06888888888888889;0.056666666666666664;0.09333333333333334;0.02024102024102024
4;10;5;lstm;9;0.014060860440713526;0.029040145741275294;0.040975865687303256;0.06295907660020986;0.09147884777630469
4;10;5;lstm;10;0.007450980392156857;0.014823936622182234;0.019368191721132886;0.03725490196078431;0.00549793827314757
5;10;5;lstm;1;0.01957446808510639;0.05537487335359676;0.053297872340425524;0.0851063829787234;0.05927252901316302
5;10;5;lstm;2;0.026282628262826235;0.06559201374682924;0.06510651065106511;0.10891089108910891;0.08148917472237757
5;10;5;lstm;3;0.014866434378629487;0.04235846099957598;0.04914827719705769;0.07084785133565621;0.08200948182649921
5;10;5;lstm;4;0.013725490196078416;0.03804314149902385;0.03620915032679738;0.06470588235294118;0.1036954851924554
5;10;5;lstm;5;0.015522388059701466;0.04528601894815184;0.039776119402985075;0.06940298507462686;0.11688654353562006
5;10;5;lstm;6;0.008159203980099505;0.015476980178472717;0.029187396351575454;0.03482587064676617;0.10013878509661578
5;10;5;lstm;7;0.00044543429844097997;0.0011135857461024498;0.0005567928730512249;0.0022271714922048997;0.06689265536723164
5;10;5;lstm;8;0.021333333333333336;0.055555555555555546;0.057777777777777775;0.08;0.021528021528021527
5;10;5;lstm;9;0.01490031479538299;0.030722842352525703;0.041115774746414833;0.06610703043022036;0.10497770278413884
5;10;5;lstm;10;0.008496732026143783;0.016179762503291912;0.019694989106753803;0.03790849673202614;0.005997750843433712
6;10;5;lstm;1;0.02;0.06423758865248227;0.049609929078014176;0.09361702127659574;0.05592335851701846
6;10;5;lstm;2;0.024842484248424796;0.0651065106510651;0.06359135913591363;0.10801080108010801;0.08516417671966126
6;10;5;lstm;3;0.013472706155632978;0.03317663108603875;0.042160278745644604;0.06155632984901278;0.08275804707643683
6;10;5;lstm;4;0.01333333333333332;0.03577636501785108;0.03295751633986927;0.059803921568627454;0.09490483912264232
6;10;5;lstm;5;0.016716417910447732;0.04832196137054673;0.04390547263681593;0.07388059701492537;0.11952506596306069
6;10;5;lstm;6;0.006169154228855724;0.012431493327015713;0.020480928689883916;0.025870646766169153;0.09576171666488736
6;10;5;lstm;7;0.0008908685968819599;0.0033407572383073497;0.0014847809948032665;0.004454342984409799;0.06090395480225989
6;10;5;lstm;8;0.018666666666666665;0.048888888888888885;0.05111111111111111;0.08;0.02070902070902071
6;10;5;lstm;9;0.015110178384050356;0.02913294192999149;0.04466596712137112;0.06610703043022036;0.08798360853320478
6;10;5;lstm;10;0.006535947712418298;0.01312770257300701;0.016143790849673198;0.032679738562091505;0.004748219417718355
7;10;5;lstm;1;0.022127659574468078;0.06241075153465642;0.054361702127659575;0.1;0.05514448165744996
7;10;5;lstm;2;0.02952295229522947;0.07305195511081321;0.06398139813981402;0.1251125112511251;0.08077015259247423
7;10;5;lstm;3;0.01881533101045294;0.05250058312473097;0.051393728222996524;0.08246225319396051;0.08600182982616651
7;10;5;lstm;4;0.016078431372549;0.04431253387135741;0.037026143790849675;0.07254901960784314;0.10523171460271401
7;10;5;lstm;5;0.01761194029850743;0.054428151691030865;0.04901741293532342;0.08059701492537313;0.12849604221635885
7;10;5;lstm;6;0.009154228855721392;0.016573086946221276;0.028341625207296845;0.03781094527363184;0.11647272339062667
7;10;5;lstm;7;0.0026726057906458797;0.012249443207126948;0.005716406829992577;0.013363028953229399;0.07525423728813559
7;10;5;lstm;8;0.026666666666666665;0.08222222222222221;0.08;0.10666666666666667;0.023634023634023633
7;10;5;lstm;9;0.01615949632738718;0.03105270806801576;0.045452955578873744;0.07345225603357818;0.10799084006267326
7;10;5;lstm;10;0.009673202614379076;0.021573036622056226;0.02458605664488018;0.03986928104575163;0.14357116081469448
8;10;5;lstm;1;0.023829787234042544;0.06599231181834436;0.06159574468085106;0.10638297872340426;0.05888309058337877
8;10;5;lstm;2;0.02808280828082803;0.07045397651001693;0.0646564656465647;0.1224122412241224;0.08724135176160422
8;10;5;lstm;3;0.01881533101045294;0.05167338763006087;0.055110336817653906;0.08362369337979095;0.08425517757631207
8;10;5;lstm;4;0.013921568627450963;0.041854515310397675;0.03601307189542483;0.06568627450980392;0.104378253819237
8;10;5;lstm;5;0.017910447761193993;0.0542111278359473;0.047624378109452754;0.08208955223880597;0.11846965699208444
8;10;5;lstm;6;0.009353233830845771;0.0161348021795783;0.028424543946932;0.03880597014925373;0.10003202732998825
8;10;5;lstm;7;0.0017817371937639199;0.0057535263548626585;0.002746844840386043;0.008908685968819599;0.07333333333333333
8;10;5;lstm;8;0.02666666666666667;0.08222222222222222;0.08222222222222222;0.10666666666666667;0.021294021294021293
8;10;5;lstm;9;0.014060860440713524;0.030744324601185286;0.03837005946135012;0.06505771248688352;0.11016029890321803
8;10;5;lstm;10;0.011372549019607828;0.024530253696920364;0.03106753812636166;0.049019607843137254;0.15106834936898664
1;12;5;lstm;1;0.02127659574468085;0.05950354609929078;0.0552836879432624;0.09361702127659574;0.05935041669911987
1;12;5;lstm;2;0.025202520252025153;0.0625524890151353;0.05853585358535859;0.10801080108010801;0.09539026923384197
1;12;5;lstm;3;0.017421602787456428;0.0482140552698044;0.05089043747580335;0.07781649245063879;0.09348748232554271
1;12;5;lstm;4;0.015686274509803904;0.04290069135657371;0.040964052287581695;0.07058823529411765;0.09968421951011351
1;12;5;lstm;5;0.017761194029850713;0.05275793136409412;0.048407960199005;0.07761194029850746;0.12788038698328935
1;12;5;lstm;6;0.0;0.0;0.0;0.0;0.0048040994982384965
1;12;5;lstm;7;0.0;0.0;0.0;0.0;0.01175141242937853
1;12;5;lstm;8;0.021333333333333336;0.04777777777777778;0.041555555555555554;0.09333333333333334;0.023517023517023516
1;12;5;lstm;9;0.005456453305351524;0.010835456952980561;0.012994053864987759;0.023084994753410283;0.00602627455706882
1;12;5;lstm;10;0.0019607843137254906;0.0031474598386363097;0.004466230936819172;0.00980392156862745;0.0012495314257153568
2;12;5;lstm;1;0.02212765957446808;0.06246707193515704;0.05652482269503545;0.10212765957446808;0.06020718124464522
2;12;5;lstm;2;0.02646264626462641;0.06398889888988901;0.05987098709870992;0.10891089108910891;0.08867939602141088
2;12;5;lstm;3;0.016260162601626;0.045624781077742746;0.04665118079752226;0.07549361207897794;0.0944023954087998
2;12;5;lstm;4;0.013725490196078416;0.03798160893316603;0.03472222222222222;0.060784313725490195;0.107792096953145
2;12;5;lstm;5;0.016119402985074596;0.04797855443919479;0.04416666666666669;0.07313432835820896;0.12313104661389622
2;12;5;lstm;6;0.005572139303482589;0.010965016188896786;0.0191044776119403;0.024875621890547265;0.11593893455748906
2;12;5;lstm;7;0.0;0.0;0.0;0.0;0.07932203389830508
2;12;5;lstm;8;0.021333333333333333;0.055555555555555546;0.05266666666666667;0.08;0.023868023868023867
2;12;5;lstm;9;0.014690451206715624;0.030867161423917173;0.03892969569779644;0.06190975865687303;0.11208870676148006
2;12;5;lstm;10;0.009281045751633977;0.017997508120057133;0.02255991285403049;0.042483660130718956;0.00837186055229289
3;12;5;lstm;1;0.020000000000000007;0.06207700101317123;0.051879432624113465;0.09148936170212765;0.06534776851779733
3;12;5;lstm;2;0.025022502250224975;0.06432500392896434;0.05952595259525956;0.10801080108010801;0.09610929136374531
