model;n_padded;k;style;replication;precision;recall;mrr;hit;coverage
1;12;5;lstm;1;0.025000000000000005;0.06572799332498958;0.057668439716312046;0.10106382978723404;0.05436560479788145
1;12;5;lstm;2;0.022872340425531924;0.057753181059657904;0.050930851063829795;0.09840425531914894;0.05693589843445751
1;12;5;lstm;3;0.02393617021276596;0.05572255497943859;0.05580673758865248;0.09308510638297872;0.05701378612041436
1;12;5;lstm;4;0.02712765957446808;0.05549496394302403;0.069104609929078;0.10904255319148937;0.053976166368097205
2;12;5;lstm;1;0.018085106382978732;0.057256466416353784;0.044769503546099286;0.0851063829787234;0.06706129760884805
2;12;5;lstm;2;0.018617021276595758;0.056489883187317486;0.04095744680851064;0.0851063829787234;0.07189033413817275
2;12;5;lstm;3;0.0196808510638298;0.06428534179629299;0.05195035460992907;0.09308510638297872;0.067606511410546
2;12;5;lstm;4;0.021276595744680864;0.0601467980809345;0.05128546099290779;0.09574468085106383;0.0686969390139419
3;12;5;lstm;1;0.02021276595744682;0.058639705882352934;0.05828900709219857;0.09308510638297872;0.04969234364047044
3;12;5;lstm;2;0.025;0.06995202336253652;0.060904255319148934;0.10372340425531915;0.043227665706051875
3;12;5;lstm;3;0.022872340425531924;0.06358599290780143;0.04991134751773049;0.09840425531914894;0.047589376119635485
3;12;5;lstm;4;0.023936170212765968;0.060732165206508135;0.06520390070921984;0.09840425531914894;0.046966274631980685
4;12;5;lstm;1;0.022340425531914905;0.06520390070921986;0.054343971631205655;0.09840425531914894;0.0522626372770465
4;12;5;lstm;2;0.024468085106382983;0.06961957655402587;0.053723404255319136;0.10372340425531915;0.04945868058259989
4;12;5;lstm;3;0.022340425531914898;0.06433879402824959;0.04968971631205673;0.10638297872340426;0.05405405405405406
4;12;5;lstm;4;0.02127659574468086;0.05831638506466416;0.04835992907801419;0.09308510638297872;0.055533920087234206
5;12;5;lstm;1;0.0196808510638298;0.05639210471422613;0.05053191489361702;0.09042553191489362;0.053742503310226654
5;12;5;lstm;2;0.020744680851063842;0.05974786191072175;0.051728723404255314;0.09574468085106383;0.0521068619051328
5;12;5;lstm;3;0.027127659574468083;0.0663204377495679;0.05961879432624113;0.11436170212765957;0.04953656826855674
5;12;5;lstm;4;0.022340425531914898;0.054659470171047136;0.05292553191489361;0.10106382978723404;0.05639068463275956
6;12;5;lstm;1;0.023936170212765968;0.07188412599082186;0.06196808510638297;0.11170212765957446;0.0522626372770465
6;12;5;lstm;2;0.02340425531914895;0.06786273019846237;0.06249999999999999;0.10638297872340426;0.04961445595451359
6;12;5;lstm;3;0.018617021276595758;0.05075280112044818;0.046852836879432626;0.0851063829787234;0.0525741880208739
6;12;5;lstm;4;0.026063829787234045;0.07149748197151201;0.054964539007092195;0.10904255319148937;0.051094321987693744
7;12;5;lstm;1;0.024999999999999998;0.07536094224924013;0.060859929078014165;0.10904255319148937;0.053742503310226654
7;12;5;lstm;2;0.02287234042553192;0.06752637225102806;0.06223404255319149;0.09840425531914894;0.05615702157488901
7;12;5;lstm;3;0.027659574468085098;0.07244341885690446;0.06006205673758864;0.11702127659574468;0.055066593971493105
7;12;5;lstm;4;0.025000000000000005;0.07226928005244651;0.04991134751773049;0.10638297872340426;0.05405405405405406
8;12;5;lstm;1;0.02712765957446808;0.06516404434114072;0.057624113475177305;0.11170212765957446;0.055066593971493105
8;12;5;lstm;2;0.023404255319148942;0.06927725877585077;0.062411347517730476;0.10106382978723404;0.05405405405405406
8;12;5;lstm;3;0.018085106382978732;0.05366008105369808;0.053235815602836876;0.08244680851063829;0.053742503310226654
8;12;5;lstm;4;0.025000000000000005;0.06505006257822278;0.054964539007092195;0.09840425531914894;0.058805202897421915
