model;n_padded;k;style;replication;precision;recall;mrr;hit;coverage
1;10;5;lstm;1;0.02127659574468085;0.051290601346921746;0.04617021276595744;0.0851063829787234;0.06277747488122128
1;10;5;lstm;2;0.02610261026102605;0.07351592302087356;0.06326132613261329;0.11611161116111611;0.08668211232723497
1;10;5;lstm;3;0.015331010452961659;0.04421353907416625;0.046980255516840895;0.07200929152148665;0.09090909090909091
1;10;5;lstm;4;0.018431372549019578;0.04884759031817855;0.04537581699346406;0.08431372549019608;0.10395152342749851
1;10;5;lstm;5;0.019104477611940264;0.05443617154650462;0.048432835820895546;0.08283582089552238;0.1318381706244503
2;10;5;lstm;1;0.021702127659574466;0.06068105965790572;0.05691489361702126;0.09787234042553192;0.06542565620375419
2;10;5;lstm;2;0.025202520252025153;0.06518804477850385;0.06576657665766579;0.11071107110711072;0.08300711032995127
2;10;5;lstm;3;0.01579558652729383;0.04351022251719115;0.04961285327138985;0.07200929152148665;0.08442152540963153
2;10;5;lstm;4;0.014901960784313707;0.041338015598396234;0.03712418300653596;0.06764705882352941;0.1072800204830588
2;10;5;lstm;5;0.018059701492537276;0.053165810481367426;0.04921641791044777;0.08208955223880597;0.13509234828496042
3;10;5;lstm;1;0.02127659574468085;0.06887984981226533;0.05187943262411346;0.09787234042553192;0.06784017446841654
3;10;5;lstm;2;0.024302430243024253;0.06621912191219124;0.06390639063906392;0.10621062106210621;0.09035711432451865
3;10;5;lstm;3;0.016027874564459917;0.046970115959662995;0.049767711962833916;0.0743321718931475;0.09074274307577143
3;10;5;lstm;4;0.013137254901960771;0.03582519508557571;0.03503267973856209;0.059803921568627454;0.1101817871468806
3;10;5;lstm;5;0.018208955223880562;0.051792129262356414;0.048084577114427866;0.08208955223880597;0.1468777484608619
4;10;5;lstm;1;0.021702127659574463;0.06345431789737171;0.05039007092198581;0.09574468085106383;0.06402367785653089
4;10;5;lstm;2;0.023042304230423;0.061822253653936836;0.0586558655865587;0.0999099909990999;0.07781417272509387
4;10;5;lstm;3;0.01718931475029034;0.048627472669284515;0.05269066976384051;0.08130081300813008;0.07460700324378275
4;10;5;lstm;4;0.015490196078431356;0.04255040796836462;0.03906862745098039;0.0696078431372549;0.1071946744047111
4;10;5;lstm;5;0.017014925373134298;0.05027238028774466;0.04741293532338311;0.07686567164179105;0.12744063324538257
5;10;5;lstm;1;0.024680851063829782;0.059198402765361466;0.055106382978723396;0.1;0.058104213723810264
5;10;5;lstm;2;0.026462646264626414;0.07002421021322915;0.06690669066906693;0.11341134113411341;0.07789406407286091
5;10;5;lstm;3;0.01765389082462251;0.04720240399682908;0.052187379016647314;0.07897793263646923;0.07801713382683191
5;10;5;lstm;4;0.013137254901960773;0.03750533865858943;0.03620915032679739;0.061764705882352944;0.09737987539472562
5;10;5;lstm;5;0.019104477611940264;0.056290702828094154;0.051691542288557234;0.08358208955223881;0.12145998240985048
6;10;5;lstm;1;0.021702127659574463;0.06332290362953692;0.049929078014184385;0.1;0.06262169950930759
6;10;5;lstm;2;0.027902790279027853;0.07628944712653084;0.06575157515751578;0.11611161116111611;0.07637612846528721
6;10;5;lstm;3;0.015098722415795574;0.04192983426432903;0.04821912504839335;0.06852497096399536;0.07810030774349164
6;10;5;lstm;4;0.015098039215686254;0.040407550825507496;0.03975490196078431;0.06862745098039216;0.09601433814116242
6;10;5;lstm;5;0.017611940298507434;0.05190769670459694;0.049266169154228864;0.07835820895522388;0.13122251539138083
7;10;5;lstm;1;0.024255319148936152;0.06675159425472317;0.060531914893617006;0.10638297872340426;0.06363423942674663
7;10;5;lstm;2;0.029702970297029656;0.07435220653629454;0.06761176117611764;0.1251125112511251;0.08316689302548534
7;10;5;lstm;3;0.01765389082462251;0.05311146138672271;0.052439024390243914;0.08013937282229965;0.08342343840971471
7;10;5;lstm;4;0.017450980392156836;0.04919889750772104;0.04227124183006537;0.08137254901960785;0.10599982930784331
7;10;5;lstm;5;0.018656716417910415;0.05849365427936048;0.04942786069651741;0.08208955223880597;0.13790677220756375
8;10;5;lstm;1;0.023404255319148925;0.0630709517849693;0.052624113475177293;0.10212765957446808;0.061219721162084274
8;10;5;lstm;2;0.02718271827182713;0.0698695998905368;0.06797179717971799;0.1152115211521152;0.08021091315810498
8;10;5;lstm;3;0.016957026713124254;0.045981769637276376;0.05543941153697252;0.08013937282229965;0.08658404724278466
8;10;5;lstm;4;0.015098039215686258;0.04127594627594628;0.03771241830065359;0.06764705882352941;0.1072800204830588
8;10;5;lstm;5;0.01955223880597011;0.06046051411935465;0.05119402985074629;0.0873134328358209;0.1326297273526825
1;12;5;lstm;1;0.024255319148936156;0.06187317480183563;0.06333333333333331;0.1;0.06246592413739388
1;12;5;lstm;2;0.028622862286228564;0.0777999877909869;0.06851185118511853;0.126012601260126;0.08412558919868979
1;12;5;lstm;3;0.016957026713124254;0.0482467783861512;0.05294231513743709;0.08013937282229965;0.08475422107627048
1;12;5;lstm;4;0.017254901960784292;0.04072626175567354;0.04218954248366013;0.07745098039215687;0.1012204489203721
1;12;5;lstm;5;0.01835820895522385;0.05371683284209129;0.049514925373134344;0.0791044776119403;0.13852242744063326
2;12;5;lstm;1;0.021702127659574466;0.06393557422969189;0.05631205673758865;0.09787234042553192;0.06394579017057403
2;12;5;lstm;2;0.030243024302430185;0.08085794745482454;0.0721722172217222;0.12871287128712872;0.08292721898218423
2;12;5;lstm;3;0.018815331010452935;0.04891875449366738;0.05650406504065042;0.08362369337979095;0.08467104715961074
2;12;5;lstm;4;0.014901960784313707;0.0410872950578833;0.039901960784313725;0.06666666666666667;0.10395152342749851
2;12;5;lstm;5;0.018358208955223845;0.0557656546670325;0.052126865671641806;0.08358208955223881;0.13122251539138083
3;12;5;lstm;1;0.021276595744680847;0.061896567137493294;0.04840425531914892;0.09574468085106383;0.07173455876625906
3;12;5;lstm;2;0.02106210621062102;0.05372537253725374;0.05499549954995503;0.0927092709270927;0.09259407206199569
3;12;5;lstm;3;0.015331010452961659;0.039996865955054105;0.048044909020518785;0.07084785133565621;0.09340430840888297
3;12;5;lstm;4;0.01352941176470587;0.03563164046136183;0.034918300653594775;0.061764705882352944;0.10361013911410771
3;12;5;lstm;5;0.016417910447761166;0.04742793831234457;0.04675373134328359;0.07238805970149254;0.1467018469656992
4;12;5;lstm;1;0.023829787234042544;0.06656445556946183;0.05379432624113474;0.10212765957446808;0.05950619207103357
4;12;5;lstm;2;0.02682268226822677;0.07041743135352499;0.06374137413741376;0.11341134113411341;0.07381960533674203
4;12;5;lstm;3;0.016492450638792084;0.05012628357576092;0.049535423925667836;0.07897793263646923;0.07718539466023455
4;12;5;lstm;4;0.01588235294117645;0.04071008411952684;0.04189542483660131;0.07156862745098039;0.09046684304856192
4;12;5;lstm;5;0.01955223880597011;0.054534575456295156;0.0545771144278607;0.08880597014925373;0.13526824978012314
5;12;5;lstm;1;0.01914893617021277;0.048180463674831635;0.04496453900709219;0.08085106382978724;0.05849365215359452
5;12;5;lstm;2;0.027002700270026946;0.07085012849111001;0.06582658265826584;0.11791179117911792;0.08037069585363905
5;12;5;lstm;3;0.01765389082462251;0.05040926939881644;0.05284552845528457;0.08013937282229965;0.07743491641021376
5;12;5;lstm;4;0.013921568627450965;0.03573873566520625;0.03563725490196078;0.06274509803921569;0.10002560382350431
5;12;5;lstm;5;0.019850746268656676;0.05722062282517833;0.050721393034825896;0.0880597014925373;0.12242744063324539
6;12;5;lstm;1;0.024255319148936156;0.07296516478931998;0.05999999999999999;0.11063829787234042;0.06067450736038632
6;12;5;lstm;2;0.02916291629162911;0.07721008266834589;0.07157215721572159;0.12061206120612061;0.08148917472237757
6;12;5;lstm;3;0.016957026713124258;0.04402964437807644;0.05038714672861016;0.07549361207897794;0.07568826416035931
6;12;5;lstm;4;0.013333333333333319;0.03672850025791202;0.03401960784313725;0.060784313725490195;0.10284202440897841
6;12;5;lstm;5;0.017761194029850713;0.05092761028216578;0.048669154228855725;0.07835820895522388;0.12647317502198768
7;12;5;lstm;1;0.02425531914893616;0.0656070087609512;0.05606382978723403;0.10425531914893617;0.06456889165822884
7;12;5;lstm;2;0.02916291629162911;0.07583073948275686;0.0671617161716172;0.1269126912691269;0.08796037389150754
7;12;5;lstm;3;0.019744483159117275;0.05316861161808898;0.05973674022454511;0.09175377468060394;0.08375613407635366
7;12;5;lstm;4;0.013529411764705868;0.03909424453542102;0.03620915032679739;0.06470588235294118;0.09866006656994111
7;12;5;lstm;5;0.019253731343283547;0.05729128699490364;0.05205223880597016;0.0873134328358209;0.12480211081794196
8;12;5;lstm;1;0.028936170212765937;0.0812984981226533;0.06446808510638295;0.12340425531914893;0.0658929823194953
8;12;5;lstm;2;0.02826282628262821;0.07298256505492451;0.0655415541554156;0.11701170117011701;0.08556363345849645
8;12;5;lstm;3;0.019976771196283365;0.0537220390689562;0.05540069686411151;0.09175377468060394;0.0894951343258754
8;12;5;lstm;4;0.015882352941176448;0.04304693672340732;0.04179738562091504;0.07254901960784314;0.10250064009558761
8;12;5;lstm;5;0.019402985074626827;0.055905017791470286;0.052126865671641806;0.0880597014925373;0.13438874230430958
