c_id;item_name;item_code
1004.0;MOR5A816ECA30809;7100.0
8168.0;MOR59F333319808D;4258.0
8168.0;MOR59F333319808D;4258.0
490.0;MATBIG59AC91438A68A;3511.0
8673.0;HASQAR5A53698E5B971;6660.0
8673.0;HASQAR5A744999A7B52;6833.0
8673.0;HASQAR5A7449994BBA7;6845.0
8673.0;HASQAR5A618CC120963;6816.0
900.0;KNO59D64DAF36939;3949.0
8673.0;HASQAR5A5369922FF49;6687.0
8673.0;HASQAR5A5369034ECAE;6685.0
8673.0;HASQAR5A7449994BBA7;6845.0
8673.0;HASQAR5A744999A7B52;6833.0
9780.0;MEFALH59ACF0B5E49BF;6572.0
9780.0;MEFDEA59D38D8F0DB9F-L;4538.0
3143.0;WOFVST5A93B3459E903;7242.0
1446.0;MEFDEA59F75B0BA0EF0-L;5668.0
9888.0;APPKEN5A7C191D84D3C;7119.0
9808.0;APPNAT5A0A01860CE92;5413.0
8673.0;HASQAR5A744998A7D44;7249.0
8673.0;HASQAR5A5369144BA78;6780.0
8673.0;HASQAR5A53698E5B971;6660.0
8673.0;HASQAR5A53693D2F6FF;7099.0
8673.0;HASQAR5A53697A43A60;6730.0
8673.0;HASQAR5A5369353973B;6744.0
8673.0;HASQAR5A53698E5B971;6660.0
8673.0;HASQAR5A5369641059E;6650.0
8673.0;HASQAR5A687F255CCE7;6815.0
8673.0;HASQAR5A53695A94E5C;7031.0
8673.0;HASQAR5A74499AE11F9;6824.0
8673.0;HASQAR5A536970F0677;6731.0
8673.0;HASQAR5A53696A68DF3;6659.0
8673.0;HASQAR5A5369034ECAE;6685.0
8673.0;HASQAR5A5369353973B;6744.0
4162.0;SOGAMB5A09BA25AF0A9;5372.0
4162.0;APPHED59CDF9B511F55;6233.0
9942.0;APPEXP59D49D4BEE741;4086.0
1402.0;HALANG59F334A66A7A9;6018.0
1810.0;MEFDEA5A27C2E6F142C;6346.0
1290.0;SOGAMB5A09BA246645E;5019.0
1290.0;SOGAMB5A09BA2372A3B;5955.0
1290.0;SOGAMB5A2E671651624;6380.0
4428.0;MEFDEA59F75B1E9D5E4-L;5377.0
4670.0;MEFMYD5A9E5E46D085F;7433.0
8673.0;HASQAR5A618CB95E324;6945.0
8673.0;HASQAR5A53693A9C1C8;6638.0
8673.0;HASQAR5A53699375950;7271.0
8673.0;HASQAR5A53693D2F6FF;7099.0
353.0;MOR5A816ECA30809;7100.0
8673.0;HASQAR5A53698E5B971;6660.0
10007.0;MOR5A816ECA30809;7100.0
907.0;PAM59F0572493D39;6590.0
8771.0;HALNAD59E0ACB2BD88F;5361.0
4814.0;HALSHO59F869405A255;5749.0
4814.0;HALSHO59F8375B9DED0;5183.0
8673.0;HASQAR5A53698FA5EF3;6800.0
8673.0;HASQAR5A5369A55D17F;7316.0
8673.0;HASQAR5A53699ADA7FA;6739.0
8673.0;HASQAR5A53690743A5D;6769.0
8673.0;HASQAR5A5369034ECAE;6685.0
8673.0;HASQAR5A744998A7D44;7249.0
8673.0;HASQAR5A536970F0677;6731.0
8673.0;HASQAR5A618DB1481E7;7402.0
8673.0;HASQAR5A5369922FF49;6687.0
8673.0;HASQAR5A9F9E9A26160;7319.0
8410.0;WOFVST5A93B347DDD7B;7409.0
4410.0;BAGKEM59FADB56D4AE6;6826.0
4410.0;HALSHO59F82E0B3AEED;4582.0
984.0;WOFVST5A93B347DDD7B;7409.0
984.0;KNO59D64DAC18B6C;3948.0
8673.0;HASQAR5A618CCA752C4;7299.0
8673.0;HASQAR5A5369353973B;6744.0
8673.0;HASQAR5A53695BBF279;6995.0
8673.0;HASQAR5A5369922FF49;6687.0
240.0;MEFECH5A5DC3EAAE4C7-L;6930.0
3910.0;APPNEW5A900E7ED2764;7390.0
4744.0;SOGAMB5A09BA25616A0;5134.0
4744.0;SOGMDF5A09BC0C28DAD;6174.0
4744.0;SOGAMB5A09BA223044F;5373.0
4744.0;SOGAMB5A09BA22CD8BE;5017.0
4744.0;SOGAMB5A09BA24189C2;6122.0
4744.0;SOGAMB5A09BA260C768;5211.0
2747.0;BKSTRA59F192793463E;4281.0
9114.0;WOFVST5A93B3459E903;7242.0
8673.0;HASQAR5A74499AE11F9;6824.0
8673.0;HASQAR5A744999A7B52;6833.0
8673.0;HASQAR5A618DB1481E7;7402.0
8673.0;HASQAR5A53691FC8D4B;6686.0
8673.0;HASQAR5A5369A2BCAEB;6625.0
8673.0;HASQAR5A5369462510C;6840.0
8673.0;HASQAR5A618CCE63D2D;6722.0
8673.0;HASQAR5A618CC063535;6771.0
8673.0;HASQAR5A744999A7B52;6833.0
8673.0;HASQAR5A5369A55D17F;7316.0
8673.0;HASQAR5A5369A2BCAEB;6625.0
8673.0;HASQAR5A687F255CCE7;6815.0
