t_id;t_date;c_id;recency;payment;item_code;category_code;method_code
436915.0;2017-04-02;68;99;7;103;7;1
436931.0;2017-04-02;69;99;3;104;5;1
436932.0;2017-04-02;69;99;4;105;8;1
436933.0;2017-04-02;69;99;1;106;8;1
436936.0;2017-04-02;70;99;4;18;2;1
436937.0;2017-04-02;70;99;3;107;7;1
436946.0;2017-04-02;71;99;7;108;8;1
436949.0;2017-04-02;72;99;3;109;1;1
436958.0;2017-04-02;73;99;5;110;8;1
436959.0;2017-04-02;47;99;6;111;5;2
436961.0;2017-04-02;74;99;32;112;5;1
436962.0;2017-04-02;74;99;13;113;6;1
436972.0;2017-04-02;75;99;4;114;9;1
436973.0;2017-04-02;75;99;2;115;6;1
436975.0;2017-04-02;75;99;3;116;2;1
436996.0;2017-04-03;26;99;11;117;6;1
437061.0;2017-04-03;76;99;1;118;3;1
437062.0;2017-04-03;77;99;1;119;7;1
437063.0;2017-04-03;78;99;6;120;6;1
437064.0;2017-04-03;77;99;1;121;7;1
437065.0;2017-04-03;77;99;1;119;7;1
437085.0;2017-04-03;28;99;16;35;4;1
437086.0;2017-04-03;28;99;16;35;4;1
437088.0;2017-04-03;28;99;16;35;4;1
437087.0;2017-04-03;28;99;16;35;4;1
437106.0;2017-04-03;6;99;7;122;8;1
437110.0;2017-04-03;6;99;34;123;2;1
437143.0;2017-04-03;6;99;50;7;5;1
437151.0;2017-04-03;75;99;104;126;10;1
437145.0;2017-04-03;80;99;50;7;5;1
437149.0;2017-04-03;11;99;4;16;1;1
437150.0;2017-04-03;11;99;4;114;9;1
437157.0;2017-04-03;81;99;17;127;8;1
437165.0;2017-04-03;82;99;2;34;2;1
437168.0;2017-04-03;82;99;3;36;1;1
437169.0;2017-04-03;83;99;26;128;8;1
437172.0;2017-04-03;83;99;13;128;8;1
437173.0;2017-04-03;84;99;8;129;1;1
437177.0;2017-04-03;85;99;6;33;1;1
437184.0;2017-04-03;85;99;6;33;1;1
437179.0;2017-04-03;6;99;2;130;1;1
437181.0;2017-04-03;6;99;2;131;1;1
437183.0;2017-04-03;6;99;2;5;3;1
437189.0;2017-04-03;6;99;4;132;2;1
437191.0;2017-04-03;86;99;3;133;8;1
437211.0;2017-04-03;87;99;4;114;9;1
437212.0;2017-04-03;87;99;5;134;9;1
437220.0;2017-04-03;88;99;11;135;6;1
437225.0;2017-04-03;89;99;5;136;7;1
437226.0;2017-04-03;89;99;3;137;7;1
437235.0;2017-04-03;90;99;15;138;2;1
437240.0;2017-04-03;91;99;3;139;2;1
437241.0;2017-04-03;91;99;3;140;2;1
437242.0;2017-04-03;91;99;2;141;3;1
437243.0;2017-04-03;92;99;6;142;1;1
437245.0;2017-04-03;92;99;1;83;7;1
437248.0;2017-04-03;93;99;2;143;3;1
437258.0;2017-04-03;14;99;6;144;1;1
437262.0;2017-04-03;94;99;5;50;1;3
437264.0;2017-04-03;94;99;4;66;1;3
437266.0;2017-04-03;94;99;5;79;1;3
437269.0;2017-04-03;11;99;50;145;5;1
437279.0;2017-04-03;95;99;4;62;1;1
437280.0;2017-04-03;95;99;4;146;1;1
437285.0;2017-04-03;96;99;4;16;1;5
437286.0;2017-04-03;96;99;1;53;2;5
437295.0;2017-04-03;97;99;6;147;2;1
437333.0;2017-04-03;75;99;5;148;6;1
437334.0;2017-04-03;75;99;5;149;6;1
437345.0;2017-04-03;99;99;19;153;5;1
437376.0;2017-04-03;100;99;7;114;9;1
437377.0;2017-04-03;101;99;11;10;6;3
437409.0;2017-04-03;102;99;4;154;8;1
437422.0;2017-04-03;103;99;4;16;1;1
437428.0;2017-04-03;104;99;3;155;3;1
437460.0;2017-04-03;105;99;2;156;4;1
437491.0;2017-04-03;106;99;2;5;3;1
437492.0;2017-04-03;106;99;2;157;1;1
437494.0;2017-04-03;106;99;3;31;9;1
437495.0;2017-04-03;107;99;7;158;7;1
437496.0;2017-04-03;107;99;7;159;7;1
437522.0;2017-04-03;108;99;2;73;5;1
437526.0;2017-04-04;109;99;1;119;7;1
437537.0;2017-04-04;109;99;8;160;6;1
437539.0;2017-04-04;109;99;5;161;6;1
437561.0;2017-04-04;51;99;167;76;5;2
437565.0;2017-04-04;110;99;11;74;5;2
437575.0;2017-04-04;111;99;2;5;3;1
437576.0;2017-04-04;66;99;84;95;5;2
437580.0;2017-04-04;112;99;84;95;5;2
437582.0;2017-04-04;112;99;73;162;5;2
437584.0;2017-04-04;112;99;84;95;5;2
437635.0;2017-04-04;8;99;5;14;6;1
437636.0;2017-04-04;8;99;6;163;6;1
437646.0;2017-04-04;5;99;12;164;5;1
437652.0;2017-04-04;109;99;5;165;6;1
437653.0;2017-04-04;109;99;5;12;6;1
437654.0;2017-04-04;109;99;5;148;6;1
437655.0;2017-04-04;113;99;6;35;4;1
437661.0;2017-04-04;113;99;6;35;4;1
437662.0;2017-04-04;6;99;5;8;6;1
437663.0;2017-04-04;6;99;5;166;6;1
437664.0;2017-04-04;6;99;5;167;6;1
437665.0;2017-04-04;113;99;6;35;4;1
437666.0;2017-04-04;6;99;6;168;1;1
437668.0;2017-04-04;113;99;6;35;4;1
437669.0;2017-04-04;113;99;6;35;4;1
437670.0;2017-04-04;113;99;6;35;4;1
437676.0;2017-04-04;5;99;50;7;5;1
437673.0;2017-04-04;114;99;5;134;9;1
437674.0;2017-04-04;114;99;1;70;7;1
437675.0;2017-04-04;114;99;1;169;7;1
437678.0;2017-04-04;6;99;7;170;1;1
437680.0;2017-04-04;6;99;5;171;9;1
437681.0;2017-04-04;6;99;1;172;3;1
437686.0;2017-04-04;6;99;2;173;3;1
437690.0;2017-04-04;115;99;11;174;2;1
437702.0;2017-04-04;6;99;10;79;1;1
437696.0;2017-04-04;6;99;10;79;1;1
437705.0;2017-04-04;116;99;152;175;8;1
437710.0;2017-04-04;6;99;6;176;1;1
437712.0;2017-04-04;6;99;6;177;1;1
437714.0;2017-04-04;6;99;1;21;3;1
437737.0;2017-04-04;117;99;5;178;4;1
437731.0;2017-04-04;118;99;3;179;2;1
437732.0;2017-04-04;118;99;2;180;2;1
437733.0;2017-04-04;118;99;2;181;2;1
437734.0;2017-04-04;118;99;1;58;9;1
437738.0;2017-04-04;119;99;4;182;1;1
437740.0;2017-04-04;119;99;6;183;1;1
437741.0;2017-04-04;104;99;1;184;4;1
437745.0;2017-04-04;120;99;7;185;2;1
437756.0;2017-04-04;121;99;2;186;3;1
437761.0;2017-04-04;122;99;2;121;7;1
437805.0;2017-04-04;6;99;6;168;1;1
437825.0;2017-04-04;123;99;7;114;9;1
437824.0;2017-04-04;124;99;8;186;3;1
437826.0;2017-04-04;125;99;5;187;9;1
437832.0;2017-04-04;126;99;3;188;3;1
437833.0;2017-04-04;126;99;3;189;3;1
437834.0;2017-04-04;30;99;7;47;3;1
437843.0;2017-04-04;30;99;2;47;3;1
437845.0;2017-04-04;127;99;7;190;2;1
437846.0;2017-04-04;127;99;5;191;2;1
437851.0;2017-04-04;128;99;11;74;5;1
437864.0;2017-04-04;84;99;15;192;2;1
437869.0;2017-04-04;84;99;15;192;2;1
437870.0;2017-04-04;84;99;15;192;2;1
437876.0;2017-04-04;67;99;5;193;6;1
437892.0;2017-04-04;129;99;7;194;8;1
437897.0;2017-04-04;130;99;1;195;3;1
437898.0;2017-04-04;130;99;2;143;3;1
437900.0;2017-04-04;130;99;1;15;3;1
437901.0;2017-04-04;130;99;2;173;3;1
437902.0;2017-04-04;131;99;14;196;5;1
437903.0;2017-04-04;131;99;11;197;5;1
437913.0;2017-04-04;132;99;6;78;2;1
437914.0;2017-04-04;132;99;2;198;7;1
437915.0;2017-04-04;132;99;2;199;7;1
437923.0;2017-04-04;133;99;3;200;3;1
437936.0;2017-04-04;134;99;9;134;9;1
437950.0;2017-04-04;135;99;2;34;2;1
437951.0;2017-04-04;136;99;4;201;5;1
437952.0;2017-04-04;136;99;2;119;7;1
437953.0;2017-04-04;136;99;1;202;7;1
437994.0;2017-04-04;81;99;16;203;8;1
437997.0;2017-04-04;138;99;3;199;7;1
437998.0;2017-04-04;138;99;3;29;7;1
437999.0;2017-04-04;138;99;1;121;7;1
438000.0;2017-04-04;138;99;2;204;7;1
438014.0;2017-04-04;139;99;4;205;8;1
438015.0;2017-04-04;139;99;3;36;1;1
438018.0;2017-04-04;139;99;2;34;2;1
438020.0;2017-04-04;140;99;2;206;9;1
438027.0;2017-04-04;10;99;6;207;1;1
438028.0;2017-04-04;10;99;1;208;7;1
438035.0;2017-04-04;10;99;4;209;6;1
438036.0;2017-04-04;10;99;4;210;6;1
438038.0;2017-04-04;10;99;5;211;1;1
438057.0;2017-04-04;51;99;105;212;10;2
438052.0;2017-04-04;141;99;1;58;9;1
438065.0;2017-04-05;142;98;3;29;7;6
438066.0;2017-04-05;142;98;3;213;7;6
438067.0;2017-04-05;142;98;3;214;7;6
438070.0;2017-04-05;143;98;1;215;3;1
438078.0;2017-04-05;144;98;6;33;1;1
438081.0;2017-04-05;144;98;20;216;10;1
438150.0;2017-04-05;6;98;2;5;3;1
438173.0;2017-04-05;145;98;1;53;2;1
438174.0;2017-04-05;145;98;5;191;2;1
438175.0;2017-04-05;145;98;2;217;5;1
438183.0;2017-04-05;6;98;6;176;1;1
438182.0;2017-04-05;146;98;32;112;5;1
438191.0;2017-04-05;6;98;6;176;1;1
