model;n;k;style;hit;recall;map;ndcg;replication
similarity-time;20;20;NA;0.17737789203084833;0.13127221347342474;0.078724100418352;0.10816851470767731;NA
similarity-time;50;20;NA;0.18766066838046272;0.14019941033796637;0.08057987285714568;0.1175791177545646;NA
similarity-time;100;20;NA;0.1928020565552699;0.1455314220150175;0.08112685868959393;0.11836941678013016;NA
similarity-time;150;20;NA;0.1953727506426735;0.14968665127154954;0.07854845990004769;0.11665141043469378;NA
similarity-time;200;20;NA;0.18508997429305912;0.14246801156086156;0.07500737270854642;0.1114883672934341;NA
