model,n_time,emb_unit,rnn_unit,drop_rate,learning,acc,loss,hit,map,ndcg,repl,n_epoch,n_train_c,n_val_c
1,8,512,800,0.8,0.0001,0.1460857689380645,1.5211135149002075,0.2755610972568578,0.1760039302320404,0.215975834703715,5,36,19018,4812
1,8,512,1000,0.8,0.0001,0.1401685327291488,1.4889798164367676,0.275426405559065,0.1682070908662364,0.2094125454038334,1,36,19081,4749
1,8,512,1000,0.8,0.0001,0.1410114616155624,1.5030747652053833,0.2825410006227942,0.1703066242673855,0.2128672854035282,2,36,19013,4817
1,8,512,1000,0.8,0.0001,0.1349223107099533,1.4720717668533323,0.2674053941041187,0.1643142074661585,0.2039550497898264,3,32,19047,4783
1,8,512,1000,0.8,0.0001,0.1361726820468902,1.4571831226348877,0.2659095778872937,0.1598616421237507,0.2024456355533287,4,34,19163,4667
1,8,512,1000,0.8,0.0001,0.1450646668672561,1.523835062980652,0.2745220282626766,0.1742818545332628,0.2128321729733084,5,34,19018,4812
1,8,1024,400,0.8,0.0001,0.1346220225095749,1.5229300260543823,0.2801851072780816,0.1690365720962655,0.2113264359942989,1,49,19076,4754
1,8,1024,400,0.8,0.0001,0.1460770368576049,1.44749116897583,0.2938177182919056,0.1764581835342333,0.2205691195309758,2,50,19123,4707
1,8,1024,400,0.8,0.0001,0.1394113153219223,1.5263981819152832,0.2779077184775675,0.1684737881663598,0.2113525421956018,3,45,19127,4703
1,8,1024,400,0.8,0.0001,0.1450574100017547,1.4979225397109983,0.281580059146599,0.1714919200287385,0.2144258337437113,4,47,19096,4734
1,8,1024,400,0.8,0.0001,0.1454327702522277,1.516305923461914,0.2964867180805484,0.1739229323732685,0.2208704203974836,5,47,19162,4668
1,8,1024,600,0.8,0.0001,0.1351052820682525,1.524044394493103,0.2793437105595288,0.166503584571236,0.2095515653647262,1,40,19076,4754
1,8,1024,600,0.8,0.0001,0.145934373140335,1.4450507164001465,0.2933928192054387,0.1758997717071573,0.2204871141471405,2,40,19123,4707
1,8,1024,600,0.8,0.0001,0.1412291079759597,1.5241080522537231,0.2798213906017435,0.17054439762443,0.2133320948296906,3,39,19127,4703
1,8,1024,600,0.8,0.0001,0.1461075395345688,1.4974170923233032,0.2845373891001267,0.1714250329807164,0.2139449873514733,4,39,19096,4734
1,8,1024,600,0.8,0.0001,0.1457849144935608,1.51530122756958,0.2947729220222793,0.17355236862266,0.219972349170165,5,38,19162,4668
1,8,1024,800,0.8,0.0001,0.1372299939393997,1.5186020135879517,0.2904812834224599,0.171142886667663,0.2167851693077566,1,34,19155,4675
1,8,1024,800,0.8,0.0001,0.1449557840824127,1.4573007822036743,0.2777085927770859,0.1724283795258209,0.2134942634075005,2,35,19012,4818
1,8,1024,800,0.8,0.0001,0.145778089761734,1.5430350303649902,0.2915688367129135,0.1746973357274747,0.2186498986972981,3,36,19145,4685
1,8,1024,800,0.8,0.0001,0.1427400112152099,1.529199481010437,0.2885375494071146,0.1765573092841893,0.2197917965216697,4,34,19023,4807
1,8,1024,800,0.8,0.0001,0.144361525774002,1.4839533567428589,0.2767875864961208,0.1689623015167101,0.2097231130356282,5,36,19061,4769
1,8,1024,1000,0.8,0.0001,0.1372299939393997,1.5233688354492188,0.2834224598930481,0.1716517777092935,0.2150020632279989,1,33,19155,4675
1,8,1024,1000,0.8,0.0001,0.1449557840824127,1.459758162498474,0.2772934827729348,0.1722423138176372,0.2128609465267855,2,33,19012,4818
1,8,1024,1000,0.8,0.0001,0.144312635064125,1.5456198453903198,0.2887940234791889,0.1730280067155298,0.2160370620432798,3,31,19145,4685
1,8,1024,1000,0.8,0.0001,0.1406217962503433,1.5304399728775024,0.290409819013938,0.175902329675465,0.2200240327309872,4,31,19023,4807
1,8,1024,1000,0.8,0.0001,0.1452681571245193,1.4843004941940308,0.2738519605787377,0.1694525750676252,0.2109796192530392,5,32,19061,4769
1,10,256,400,0.8,0.0001,0.1303564608097076,1.0899600982666016,0.2683876254865806,0.1595614502387258,0.2011105157099061,1,59,18949,4881
1,10,256,400,0.8,0.0001,0.1363481879234314,1.0138967037200928,0.2758620689655172,0.1607852150557927,0.2047015334777118,2,60,19045,4785
1,10,256,400,0.8,0.0001,0.1408044099807739,1.0320369005203247,0.2679056170390478,0.1703703912112616,0.207872916370881,3,60,19041,4789
1,10,256,400,0.8,0.0001,0.1389748007059097,1.0990827083587646,0.2832308670765316,0.1685371881372073,0.2112269333824186,4,60,19113,4717
1,10,256,400,0.8,0.0001,0.1431082785129547,1.0917785167694092,0.2853862212943632,0.1732432116050027,0.2155793035465408,5,58,19040,4790
1,10,256,600,0.8,0.0001,0.1300347447395324,1.0892044305801392,0.2630608481868469,0.1577981767025831,0.1982815719857898,1,45,18949,4881
1,10,256,600,0.8,0.0001,0.1351241022348404,1.0146032571792605,0.2599791013584117,0.1554117725766989,0.1951082789499524,2,43,19045,4785
1,10,256,600,0.8,0.0001,0.1401329487562179,1.034445881843567,0.2660263102944247,0.168610274366096,0.2052424951361265,3,46,19041,4789
1,10,256,600,0.8,0.0001,0.1385799795389175,1.1030820608139038,0.2770828916684333,0.1675324610402418,0.2090121706426479,4,48,19113,4717
1,10,256,600,0.8,0.0001,0.1431733816862106,1.093861699104309,0.2849686847599165,0.173439689162404,0.2147935447587677,5,49,19040,4790
1,10,256,800,0.8,0.0001,0.1277184337377548,1.0949437618255615,0.2573243187871338,0.154047709514023,0.1930022127571675,1,41,18949,4881
1,10,256,800,0.8,0.0001,0.1371642351150512,1.0161545276641846,0.2658307210031348,0.1593512094575306,0.2004943049482375,2,43,19045,4785
1,10,256,800,0.8,0.0001,0.1371785402297973,1.0371105670928955,0.2666527458759657,0.1647354922353437,0.2036303575306815,3,44,19041,4789
1,10,256,800,0.8,0.0001,0.1365400999784469,1.105541467666626,0.2713589145643417,0.1650412199793482,0.205473787701485,4,42,19113,4717
1,10,256,800,0.8,0.0001,0.1406992673873901,1.0990089178085327,0.2693110647181628,0.1666635978669725,0.205951452547421,5,41,19040,4790
1,10,256,1000,0.8,0.0001,0.1286835670471191,1.098026990890503,0.2569145666871543,0.1543447629937039,0.1925505203391575,1,39,18949,4881
1,10,256,1000,0.8,0.0001,0.1347840875387191,1.0191935300827026,0.2603970741901776,0.1556682719352684,0.1950326693229119,2,39,19045,4785
1,10,256,1000,0.8,0.0001,0.1402000933885574,1.0420348644256592,0.2608060137815828,0.1644478305142953,0.200868255899631,3,40,19041,4789
1,10,256,1000,0.8,0.0001,0.1347634345293045,1.110141038894653,0.2643629425482298,0.1612638979137027,0.2006491976079573,4,39,19113,4717
1,10,256,1000,0.8,0.0001,0.140959694981575,1.0997607707977295,0.2701461377870564,0.1663853774486577,0.2051948518998031,5,39,19040,4790
1,10,512,400,0.8,0.0001,0.1420075297355651,1.0610482692718506,0.2944003343083995,0.1802954705342865,0.2236200671671948,1,53,19044,4786
1,10,512,400,0.8,0.0001,0.1357925087213516,1.0363693237304688,0.2858340318524727,0.1698063196657943,0.2124220519076525,2,54,19058,4772
1,10,512,400,0.8,0.0001,0.1414443701505661,1.087546944618225,0.2804750989789539,0.1731873930947349,0.2131756894546053,3,53,19031,4799
1,10,512,400,0.8,0.0001,0.1492716819047927,1.0491855144500732,0.2932742989668986,0.1800227348105548,0.221761106633772,4,53,19087,4743
1,10,512,400,0.8,0.0001,0.1386615633964538,1.0525721311569214,0.2765514369012911,0.1641334497815061,0.2079612147075111,5,47,19028,4802
1,10,512,600,0.8,0.0001,0.1410824060440063,1.0635969638824463,0.2860426243209361,0.1764086322923116,0.2181142836917041,1,43,19044,4786
1,10,512,600,0.8,0.0001,0.1358597129583358,1.036279797554016,0.2780804694048617,0.171584503327957,0.2112072605668394,2,42,19058,4772
1,10,512,600,0.8,0.0001,0.1422251164913177,1.0874022245407104,0.273598666388831,0.1708764870086614,0.2101477170887253,3,44,19031,4799
1,10,512,600,0.8,0.0001,0.1475344151258468,1.051089644432068,0.2932742989668986,0.1792619561279372,0.2231240915831815,4,42,19087,4743
1,10,512,600,0.8,0.0001,0.1406414955854416,1.0525518655776978,0.2802998750520616,0.1652004822462696,0.2086553650578687,5,45,19028,4802
1,10,512,800,0.8,0.0001,0.1415449678897857,1.0671569108963013,0.2877141663184288,0.176667962762912,0.2188074079171823,1,37,19044,4786
1,10,512,800,0.8,0.0001,0.1329033076763153,1.0393458604812622,0.2743084660519698,0.1678827332242329,0.207964823956954,2,39,19058,4772
1,10,512,800,0.8,0.0001,0.1415745019912719,1.0909241437911987,0.2717232756824338,0.1708048135052408,0.2090649586019348,3,38,19031,4799
1,10,512,800,0.8,0.0001,0.1474675983190536,1.0523697137832642,0.2930634619439173,0.1762603788882129,0.2206182739385029,4,37,19087,4743
1,10,512,800,0.8,0.0001,0.141631469130516,1.0545367002487185,0.2740524781341107,0.1620894886435046,0.2042804977177667,5,37,19028,4802
1,10,512,1000,0.8,0.0001,0.141677126288414,1.0656414031982422,0.2852068533221897,0.1768532574304766,0.2179556446586693,1,36,19044,4786
1,10,512,1000,0.8,0.0001,0.1322985887527465,1.0425742864608765,0.2652975691533948,0.1656172877961761,0.204857566595172,2,35,19058,4772
1,10,512,1000,0.8,0.0001,0.1422901749610901,1.0955060720443726,0.2692227547405709,0.1683631840659525,0.206782589502225,3,36,19031,4799
1,10,512,1000,0.8,0.0001,0.146465316414833,1.0544276237487793,0.2810457516339869,0.1752824762373625,0.2163403203345562,4,33,19087,4743
1,10,512,1000,0.8,0.0001,0.1405095010995865,1.056399941444397,0.2707205331112036,0.1623876483998541,0.2039095487745173,5,35,19028,4802
1,10,1024,400,0.8,0.0001,0.1456945091485977,1.07474946975708,0.2955156023971895,0.1769813949069815,0.2230379338972195,1,47,18991,4839
1,10,1024,400,0.8,0.0001,0.1396763771772384,1.069080471992493,0.286624203821656,0.1716108724343871,0.2156137842780247,2,46,19120,4710
1,10,1024,400,0.8,0.0001,0.1407120525836944,1.0544216632843018,0.2921828278513456,0.1728328974569353,0.2180592178536182,3,43,19148,4682
1,10,1024,400,0.8,0.0001,0.140198677778244,1.0700291395187378,0.2815187749108453,0.1736912702251029,0.2139842605132237,4,45,19063,4767
1,10,1024,400,0.8,0.0001,0.1376534253358841,1.0525081157684326,0.2820353063343717,0.1677025498951467,0.2092681055088789,5,49,19015,4815
1,10,1024,600,0.8,0.0001,0.14595328271389,1.073514103889465,0.2948956395949576,0.1780050129380457,0.2228603512745634,1,40,18991,4839
1,10,1024,600,0.8,0.0001,0.1387403011322021,1.066910982131958,0.2855626326963906,0.1727668117049367,0.2157708807659021,2,37,19120,4710
1,10,1024,600,0.8,0.0001,0.1424106508493423,1.0534884929656982,0.2934643314822725,0.1730716302592422,0.2197826325365248,3,40,19148,4682
1,10,1024,600,0.8,0.0001,0.14072847366333,1.0672348737716677,0.2840360813929096,0.1738426537804324,0.2149536478934205,4,38,19063,4767
1,10,1024,600,0.8,0.0001,0.1372574865818023,1.0528595447540283,0.2818276220145379,0.1660765256162045,0.208654301363223,5,38,19015,4815
1,10,1024,800,0.8,0.0001,0.1449828594923019,1.0737091302871704,0.2948956395949576,0.1772203874978304,0.2220506130044371,1,33,18991,4839
1,10,1024,800,0.8,0.0001,0.1382054090499878,1.0674668550491333,0.2868365180467091,0.170991182452897,0.2157319273244859,2,34,19120,4710
1,10,1024,800,0.8,0.0001,0.141459435224533,1.0530881881713867,0.2909013242204186,0.1741496739062016,0.2186463372117283,3,35,19148,4682
1,10,1024,800,0.8,0.0001,0.1405297964811325,1.0690202713012695,0.2838263058527375,0.1739474759620274,0.2153424431501349,4,34,19063,4767
1,10,1024,800,0.8,0.0001,0.1364656239748001,1.0523179769515991,0.2785046728971962,0.1660394355244765,0.2076955744821577,5,33,19015,4815
1,10,1024,1000,0.8,0.0001,0.1442712098360061,1.0762451887130735,0.2907625542467452,0.1756072534000612,0.2197547320546075,1,33,18991,4839
1,10,1024,1000,0.8,0.0001,0.1384728550910949,1.0700063705444336,0.2859872611464968,0.1710078081429219,0.2153279558302198,2,31,19120,4710
1,10,1024,1000,0.8,0.0001,0.1417991518974304,1.054697036743164,0.2866296454506621,0.1740274792876205,0.2180048673984809,3,31,19148,4682
1,10,1024,1000,0.8,0.0001,0.1387417167425155,1.069792628288269,0.2794210195091252,0.1719942514389438,0.2125084512166133,4,31,19063,4767
1,10,1024,1000,0.8,0.0001,0.1350138634443283,1.0565775632858276,0.2737279335410176,0.1649146563428318,0.2053663743510488,5,31,19015,4815
1,12,256,400,0.8,0.0001,0.133216917514801,0.8189495801925659,0.2719717431955121,0.1630230542494656,0.2043235871285266,1,59,19017,4813
1,12,256,400,0.8,0.0001,0.135913535952568,0.8483186364173889,0.2743126795240049,0.1691727178487504,0.2074704186085759,2,59,18956,4874
1,12,256,400,0.8,0.0001,0.1406598836183548,0.8258535265922546,0.2814507772020725,0.1710150028823011,0.2127595563560198,3,56,19005,4825
1,12,256,400,0.8,0.0001,0.1415709406137466,0.8236111402511597,0.2794210195091252,0.1707892756629282,0.2118876102606356,4,55,19063,4767
1,12,256,400,0.8,0.0001,0.1431935280561447,0.832933783531189,0.2847639484978541,0.1761775304028308,0.218816338299838,5,60,19170,4660
1,12,256,600,0.8,0.0001,0.1267930716276168,0.8211098313331604,0.26386868896738,0.1583112056038759,0.1982853244049397,1,43,19017,4813
1,12,256,600,0.8,0.0001,0.1340417861938476,0.8521000742912292,0.2689782519491178,0.1656945464744493,0.2037737178359056,2,49,18956,4874
1,12,256,600,0.8,0.0001,0.139977678656578,0.8298200368881226,0.2737823834196891,0.1686824832619199,0.2094245912527635,3,45,19005,4825
1,12,256,600,0.8,0.0001,0.1402669996023178,0.8275905847549438,0.2781623662680931,0.1661057977101958,0.2089218285877924,4,48,19063,4767
1,12,256,600,0.8,0.0001,0.1430026143789291,0.8343552947044373,0.2783261802575107,0.1745644890589849,0.2165263577827844,5,48,19170,4660
1,12,256,800,0.8,0.0001,0.1310964226722717,0.8250990509986877,0.2632453771036775,0.1595606913006208,0.1984078605642456,1,44,19017,4813
1,12,256,800,0.8,0.0001,0.1321096420288086,0.8544726371765137,0.2613869511694706,0.1605921774062641,0.1976771305592627,2,42,18956,4874
1,12,256,800,0.8,0.0001,0.1402257531881332,0.8307756185531616,0.2766839378238342,0.1686327506654591,0.2086912377128533,3,43,19005,4825
1,12,256,800,0.8,0.0001,0.1387767791748047,0.8302983641624451,0.2672540381791483,0.164775940695162,0.2042029486826257,4,42,19063,4767
1,12,256,800,0.8,0.0001,0.1417297720909118,0.8376840949058533,0.2733905579399142,0.1723848753840019,0.2114145777122415,5,43,19170,4660
1,12,256,1000,0.8,0.0001,0.1276662051677703,0.8249786496162415,0.2514024516933306,0.1530493342752246,0.1893883105746948,1,37,19017,4813
1,12,256,1000,0.8,0.0001,0.13162662088871,0.8555985689163208,0.257693885925318,0.1598681397937752,0.1958786068027145,2,39,18956,4874
1,12,256,1000,0.8,0.0001,0.1379310339689254,0.833766758441925,0.2621761658031088,0.1608231678632554,0.1992474906451259,3,39,19005,4825
1,12,256,1000,0.8,0.0001,0.1397081613540649,0.8303809762001038,0.2699811202013845,0.1641075884558069,0.204194136651311,4,39,19063,4767
1,12,256,1000,0.8,0.0001,0.1408388018608093,0.8404077887535095,0.26931330472103,0.1699358575350236,0.2081278117165113,5,41,19170,4660
1,12,512,400,0.8,0.0001,0.1420405507087707,0.7882515788078308,0.2793956645500328,0.1668946532550844,0.2072384607132904,1,50,19263,4567
1,12,512,400,0.8,0.0001,0.1419689059257507,0.8014345765113831,0.2869027303754266,0.1697715750083829,0.2131696966399368,2,48,19142,4688
1,12,512,400,0.8,0.0001,0.1373241692781448,0.8014488816261292,0.2845833333333333,0.1678687297967483,0.2113424587095871,3,50,19030,4800
1,12,512,400,0.8,0.0001,0.1380927562713623,0.7966161370277405,0.2840172786177106,0.1741274054069525,0.215535440347599,4,51,19200,4630
1,12,512,400,0.8,0.0001,0.1291061490774154,0.8288212418556213,0.2782380278844211,0.165682282224058,0.2084698299340039,5,54,18881,4949
1,12,512,600,0.8,0.0001,0.1425058096647262,0.789848804473877,0.2756733085176264,0.1654876263998376,0.2054995180413064,1,42,19263,4567
1,12,512,600,0.8,0.0001,0.1446891129016876,0.8005348443984985,0.2841296928327645,0.1745358461896108,0.2167347970834396,2,44,19142,4688
1,12,512,600,0.8,0.0001,0.1377657204866409,0.8022085428237915,0.2827083333333333,0.1687947509129302,0.2118391922822221,3,44,19030,4800
1,12,512,600,0.8,0.0001,0.1398514807224273,0.7980377078056335,0.2844492440604751,0.1743645724899447,0.2165696930824993,4,44,19200,4630
1,12,512,600,0.8,0.0001,0.1280212104320526,0.8317317366600037,0.2778339058395635,0.163598189105281,0.2077122508328304,5,44,18881,4949
1,12,512,800,0.8,0.0001,0.1392577886581421,0.7967984080314636,0.2711382113821138,0.1625712754947068,0.2046784880993605,1,39,18910,4920
1,12,512,800,0.8,0.0001,0.1406469792127609,0.8507252335548401,0.2763568309419837,0.1693756094119724,0.2093680851076512,2,38,19021,4809
1,12,512,800,0.8,0.0001,0.1431367397308349,0.768291175365448,0.2816455696202531,0.1757901539307321,0.2156419361323749,3,39,19090,4740
1,12,512,800,0.8,0.0001,0.1348077952861786,0.7625401020050049,0.2713080168776371,0.1656201442544617,0.2086745269813545,4,37,19090,4740
1,12,512,800,0.8,0.0001,0.1473387628793716,0.8134839534759521,0.276484161946717,0.1680187802297623,0.2085228742562105,5,38,19063,4767
1,12,512,1000,0.8,0.0001,0.138823390007019,0.7994332909584045,0.2595528455284553,0.1581400280528832,0.1977638543322371,1,33,18910,4920
1,12,512,1000,0.8,0.0001,0.1394851058721542,0.8548713326454163,0.2690788105635267,0.1646772651188473,0.2037370003914619,2,36,19021,4809
1,12,512,1000,0.8,0.0001,0.1402009427547454,0.7694398760795593,0.2759493670886076,0.1738016873421213,0.2147953732327791,3,35,19090,4740
1,12,512,1000,0.8,0.0001,0.1375724077224731,0.7653260827064514,0.2668776371308017,0.1674153880951312,0.2068062894273324,4,37,19090,4740
1,12,512,1000,0.8,0.0001,0.1463368833065033,0.8155704736709595,0.2773232641074051,0.1653747679978959,0.2065093252298786,5,36,19063,4767
1,12,1024,400,0.8,0.0001,0.1352723389863968,0.8703347444534302,0.2916839056681837,0.1738879247567866,0.2188452457165843,1,46,18996,4834
1,12,1024,400,0.8,0.0001,0.1352973878383636,0.8291860818862915,0.2816343548050865,0.1709439950517483,0.2139149925682585,2,47,19033,4797
1,12,1024,400,0.8,0.0001,0.136523351073265,0.8037270903587341,0.2911553110452814,0.1740220391368724,0.218207898034035,3,46,19104,4726
1,12,1024,400,0.8,0.0001,0.1390840709209442,0.8011154532432556,0.2799167533818938,0.1666332691042263,0.2083279140586635,4,48,19025,4805
1,12,1024,400,0.8,0.0001,0.130332201719284,0.8110879063606262,0.2829155255951127,0.16591978509838,0.2114586738595128,5,43,19083,4747
1,12,1024,600,0.8,0.0001,0.1355709433555603,0.8695386052131653,0.2912701696317749,0.1745866834765484,0.2182779912339635,1,39,18996,4834
1,12,1024,600,0.8,0.0001,0.1373398452997207,0.8292736411094666,0.2849697727746508,0.1736956053473536,0.2161288624521722,2,39,19033,4797
1,12,1024,600,0.8,0.0001,0.1376732885837555,0.8039714097976685,0.2975031739314431,0.1762676174965942,0.2208044084212468,3,40,19104,4726
1,12,1024,600,0.8,0.0001,0.1397741585969925,0.8018796443939209,0.286576482830385,0.1698974967464721,0.212985383188553,4,37,19025,4805
1,12,1024,600,0.8,0.0001,0.1302046775817871,0.8105594515800476,0.2816515694122604,0.1641750043853606,0.2098289884627895,5,39,19083,4747
1,12,1024,800,0.8,0.0001,0.1365265101194381,0.8689160943031311,0.2906495655771617,0.1739035323607918,0.2179609067097792,1,34,18996,4834
1,12,1024,800,0.8,0.0001,0.1340595334768295,0.8289021253585815,0.2818428184281842,0.1692795845361207,0.2120659118971194,2,34,19033,4797
1,12,1024,800,0.8,0.0001,0.1371622085571289,0.8050150871276855,0.2886161658908167,0.1729968656544553,0.2159894891305998,3,34,19104,4726
1,12,1024,800,0.8,0.0001,0.1389585882425308,0.8012253046035767,0.2807492195629552,0.1674638843861597,0.2098723023501728,4,34,19025,4805
1,12,1024,800,0.8,0.0001,0.1296945810317993,0.8118972182273865,0.2778597008637034,0.1658851726388272,0.209551776345987,5,35,19083,4747
1,12,1024,1000,0.8,0.0001,0.135869562625885,0.8716291785240173,0.2896152254861398,0.1724870835528734,0.2154904423766281,1,31,18996,4834
1,12,1024,1000,0.8,0.0001,0.1335025131702423,0.8334413766860962,0.2764227642276423,0.1673292805591534,0.2098010725728605,2,33,19033,4797
1,12,1024,1000,0.8,0.0001,0.1379288285970688,0.8045523166656494,0.2881929750317393,0.1736691273548187,0.21691720500832,3,31,19104,4726
1,12,1024,1000,0.8,0.0001,0.1372647434473037,0.8037912249565125,0.2780437044745057,0.1648294645973873,0.2063106862786807,4,33,19025,4805
1,12,1024,1000,0.8,0.0001,0.1300771534442901,0.8130496144294739,0.2725932167684853,0.164276509146473,0.2073177288409777,5,31,19083,4747
2,8,256,400,0.8,0.0001,0.1540310382843017,1.415061116218567,0.299119032985044,0.1779911010967906,0.2232329135099816,1,41,18949,4881
2,8,256,400,0.8,0.0001,0.1488448232412338,1.527968168258667,0.2977551884794578,0.1770821794729059,0.2210949553568957,2,45,19108,4722
2,8,256,400,0.8,0.0001,0.1562409251928329,1.3743942975997925,0.2992159355795719,0.1804467472675814,0.2238120245525261,3,44,19111,4719
2,8,256,400,0.8,0.0001,0.1486505270004272,1.406259298324585,0.2971746751907609,0.1791528959067255,0.2237092879960433,4,44,18981,4849
2,8,256,400,0.8,0.0001,0.1476763784885406,1.4008939266204834,0.290495867768595,0.1755075228201892,0.2190238596527503,5,46,18990,4840
2,8,256,600,0.8,0.0001,0.1548551023006439,1.4228127002716064,0.2964556443351772,0.1778741739064925,0.2222488981758413,1,34,18949,4881
2,8,256,600,0.8,0.0001,0.1491855829954147,1.5326827764511108,0.2986022871664548,0.1761761453534401,0.2190422551963845,2,32,19108,4722
2,8,256,600,0.8,0.0001,0.1539912968873977,1.379822850227356,0.296037296037296,0.1765735663734057,0.220177998102015,3,33,19111,4719
2,8,256,600,0.8,0.0001,0.1470506340265274,1.4135627746582031,0.2946999381315735,0.177121652747097,0.2201796045835606,4,33,18981,4849
2,8,256,600,0.8,0.0001,0.1450168043375015,1.40558660030365,0.2950413223140496,0.1738339056131321,0.2185552709770872,5,35,18990,4840
2,8,256,800,0.8,0.0001,0.1462868303060531,1.4200395345687866,0.2808572017308881,0.1639271876356405,0.2052607752295314,1,27,18977,4853
