model;n_padded;k;style;hit;recall;map;ndcg;replication
4;30;20;lstm;0.37910447761194027;0.37910447761194027;0.23779226668776593;0.28652075642025504;2
4;30;20;lstm;0.27804107424960506;0.27804107424960506;0.161381589522317;0.20567023047377644;3
4;30;20;lstm;0.33117932148626816;0.33117932148626816;0.2005557366621102;0.24934307275620046;4
4;30;20;lstm;0.3201820940819423;0.3201820940819423;0.1834193577935856;0.2344587162139454;5
4;30;20;lstm;0.35;0.35;0.19389552214157962;0.24966243677177555;6
4;30;20;lstm;0.2966507177033493;0.2966507177033493;0.1718788256760245;0.21408413907092425;7
4;30;20;lstm;0.32072829131652664;0.32072829131652664;0.17665026109168477;0.23406710042561465;8
4;30;20;lstm;0.3328125;0.3328125;0.18130652043148415;0.23544937459291165;9
4;30;20;lstm;0.3190839694656489;0.3190839694656489;0.16907749736011735;0.22259856888763027;10
last-random;NA;20;NA;0.18020679468242246;0.18020679468242246;0.1640332203782547;0.17469796150763345;1
last-ordered;NA;20;NA;0.18020679468242246;0.18020679468242246;0.1622599704579025;0.17389864753026638;1
popularity;NA;20;NA;0.056129985228951254;0.056129985228951254;0.028142954271190297;0.03662521418181389;1
last-random;NA;20;NA;0.19306184012066366;0.19306184012066366;0.1753393665158371;0.18931792241448867;2
last-ordered;NA;20;NA;0.20060331825037708;0.20060331825037708;0.18124685771744595;0.19631168743266558;2
popularity;NA;20;NA;0.05580693815987934;0.05580693815987934;0.02253336574603543;0.031574248478232085;2
last-random;NA;20;NA;0.21036585365853658;0.21036585365853658;0.18511472013758598;0.19846437999378747;3
last-ordered;NA;20;NA;0.21189024390243902;0.21189024390243902;0.19052095431668603;0.20437875345519838;3
popularity;NA;20;NA;0.04878048780487805;0.04878048780487805;0.02469088753387534;0.031717477627251675;3
last-random;NA;20;NA;0.15780998389694043;0.15780998389694043;0.13689267880089134;0.14877231134698615;4
last-ordered;NA;20;NA;0.16264090177133655;0.16264090177133655;0.1386237577058833;0.1519770335457855;4
popularity;NA;20;NA;0.0644122383252818;0.0644122383252818;0.0257427950283277;0.034654858065766556;4
last-random;NA;20;NA;0.21897810218978103;0.21897810218978103;0.19878924805932105;0.21108844721499245;5
last-ordered;NA;20;NA;0.22043795620437956;0.22043795620437956;0.2008226161510833;0.21502151643524772;5
popularity;NA;20;NA;0.06423357664233577;0.06423357664233577;0.029867862534016982;0.03841926955228442;5
last-random;NA;20;NA;0.19803600654664485;0.19803600654664485;0.17216961525472166;0.1876366621625577;6
last-ordered;NA;20;NA;0.19967266775777415;0.19967266775777415;0.1743096737777589;0.18885636932373456;6
popularity;NA;20;NA;0.03764320785597381;0.03764320785597381;0.02009955856109702;0.0250200000436607;6
last-random;NA;20;NA;0.1856;0.1856;0.16587087719298246;0.17814162688016533;7
last-ordered;NA;20;NA;0.1856;0.1856;0.16773333333333332;0.1800664025201469;7
popularity;NA;20;NA;0.0608;0.0608;0.03091420878399208;0.03889340699607685;7
last-random;NA;20;NA;0.19099378881987578;0.19099378881987578;0.165952812284334;0.18289086949734137;8
last-ordered;NA;20;NA;0.19409937888198758;0.19409937888198758;0.17008281573498965;0.18612572576689373;8
popularity;NA;20;NA;0.06832298136645963;0.06832298136645963;0.02198283514277303;0.03303849334961901;8
last-random;NA;20;NA;0.19540229885057472;0.19540229885057472;0.16410331765935213;0.1818665833796737;9
last-ordered;NA;20;NA;0.1968390804597701;0.1968390804597701;0.1658405172413793;0.18368048575726387;9
popularity;NA;20;NA;0.05890804597701149;0.05890804597701149;0.02580011729519309;0.03371829004186065;9
last-random;NA;20;NA;0.2028985507246377;0.2028985507246377;0.18607085346215782;0.19842625802301703;10
last-ordered;NA;20;NA;0.2028985507246377;0.2028985507246377;0.18588298443370907;0.19955387991592857;10
popularity;NA;20;NA;0.061191626409017714;0.061191626409017714;0.019528295713964486;0.030192733764458662;10
